Ticker,AI_Score,Harga,MA50,Trx_Miliar
SNLK.JK,1.1378769,246.0,244.2,3.65
KOTA.JK,1.1172355,105.0,97.3,49.41
BREN.JK,1.096665,2640.0,4929.5,273.58
EMAS.JK,1.0932871,7600.0,8306.5,211.77
DKHH.JK,1.0925995,65.0,,1.79
ESIP.JK,1.0920252,127.0,114.3,15.3
BANK.JK,1.0909303,278.0,494.3,15.4
LAPD.JK,1.0893279,70.0,82.2,2.11
PIPA.JK,1.0875986,121.0,130.5,8.45
COCO.JK,1.085077,236.0,340.6,7.59
LPKR.JK,1.084499,69.0,81.4,4.81
RATU.JK,1.0786232,4240.0,,43.64
LCKM.JK,1.0733291,110.0,,68.37
BBTN.JK,1.0716692,1340.0,,19.22
KOBX.JK,1.0712361,163.0,,5.44
BMTR.JK,1.070238,129.0,,4.56
VTNY.JK,1.0696039,62.0,,1.12
BJBR.JK,1.0685905,775.0,,4.69
MEDS.JK,1.0673811,94.0,,19.42
ALII.JK,1.0667117,840.0,,2.67
GSMF.JK,1.0638736,101.0,,2.96
NIKL.JK,1.0625389,252.0,,7.5
MEJA.JK,1.0616723,97.0,,1.69
DAAZ.JK,1.0601643,1475.0,,2.31
WIFI.JK,1.0595641,2010.0,,47.11
LAND.JK,1.0581692,60.0,,2.95
BDKR.JK,1.0577824,145.0,,1.52
ICBP.JK,1.0555127,6875.0,,39.31
GRIA.JK,1.0546305,139.0,,4.63
DFAM.JK,1.0541302,118.0,,19.88
SUPA.JK,1.0531607,840.0,,37.31
TBLA.JK,1.0531259,635.0,,2.4
CBRE.JK,1.0527655,845.0,,79.67
ACES.JK,1.0513059,346.0,,10.26
HOKI.JK,1.0510223,61.0,,1.19
ASRI.JK,1.0491368,119.0,,1.86
PRDA.JK,1.0490044,2530.0,,1.05
KRYA.JK,1.0481977,63.0,,5.68
ASSA.JK,1.0480415,650.0,,5.22
PNBN.JK,1.0476543,960.0,,5.54
TOWR.JK,1.0467461,390.0,,22.62
TPIA.JK,1.0466067,1900.0,,550.65
DOOH.JK,1.0464416,135.0,,3.58
PADA.JK,1.0463858,128.0,,2.57
MAPI.JK,1.0463448,1500.0,,47.21
GMFI.JK,1.0461328,53.0,,3.29
SMRA.JK,1.0460106,286.0,,6.62
RGAS.JK,1.0459454,100.0,,1.71
BNBR.JK,1.045108,126.0,,183.7
CBDK.JK,1.0444686,3930.0,,15.93
CTRA.JK,1.0439037,655.0,,5.93
KJEN.JK,1.0434241,158.0,,10.08
AUTO.JK,1.042524,2500.0,,8.54
TOOL.JK,1.0417395,72.0,,3.63
CGAS.JK,1.0413748,175.0,,1.26
GGRM.JK,1.0409759,15750.0,,20.48
MPOW.JK,1.0406828,117.0,,9.08
KPIG.JK,1.0404792,96.0,,6.57
GGRP.JK,1.0380177,294.0,,1.02
BCIP.JK,1.0372695,62.0,,1.19
BRIS.JK,1.0372568,1930.0,,51.01
EMTK.JK,1.037129,655.0,,17.01
TAPG.JK,1.0367815,1495.0,,90.22
DATA.JK,1.0360314,1630.0,,2.91
DKFT.JK,1.0359769,710.0,,5.78
MINA.JK,1.0359741,290.0,,70.67
PRIM.JK,1.035362,84.0,,1.62
PPRE.JK,1.0353085,100.0,,3.57
TEBE.JK,1.0347948,1010.0,,1.37
CYBR.JK,1.0346144,600.0,658.6,11.89
BNGA.JK,1.0344456,1610.0,,10.73
LABA.JK,1.0344323,94.0,,1.97
