Ticker,AI_Score,Harga,MA50,Trx_Miliar
CUAN.JK,1.0835009,575.0,,131.66
GRIA.JK,1.0831993,109.0,,0.5
BABY.JK,1.0686146,162.0,,0.41
RISE.JK,1.0649035,845.0,,0.35
CHEM.JK,1.0605831,57.0,,0.44
RATU.JK,1.0592005,5025.0,,19.76
CYBR.JK,1.0517362,615.0,,12.56
ALII.JK,1.0489432,710.0,,0.48
PURI.JK,1.0479461,134.0,,0.14
WGSH.JK,1.0475868,118.0,,0.45
SNLK.JK,1.0473288,216.0,,2.78
SMGA.JK,1.0432264,62.0,,0.44
FILM.JK,1.0418607,1585.0,,4.42
NCKL.JK,1.0409501,815.0,,24.27
GOOD.JK,1.0402893,300.0,,0.17
HRUM.JK,1.0397061,705.0,,4.23
KETR.JK,1.0388641,494.0,,7.65
BINA.JK,1.0386533,4090.0,,3.6
KLBF.JK,1.038459,770.0,,60.94
ERTX.JK,1.0380902,133.0,,0.13
BYAN.JK,1.0377339,11800.0,,0.49
SMRA.JK,1.0363412,270.0,,3.98
UNTD.JK,1.0356737,70.0,,6.63
HAJJ.JK,1.0351502,97.0,,0.66
TBIG.JK,1.0346669,1405.0,,0.96
IATA.JK,1.0324967,63.0,,1.26
ENAK.JK,1.0322508,300.0,,0.58
MSTI.JK,1.0312784,1185.0,,0.91
KRAS.JK,1.0311409,191.0,,1.09
CDIA.JK,1.0309252,585.0,,19.43
KBLV.JK,1.0304904,81.0,,2.09
DYAN.JK,1.0298762,78.0,,0.75
MPIX.JK,1.0297722,95.0,,0.81
SMLE.JK,1.0294887,100.0,,0.94
MAPI.JK,1.0290977,1520.0,,81.97
TCPI.JK,1.0285336,6900.0,,43.63
CSMI.JK,1.0273523,71.0,,1.21
BCIP.JK,1.0256802,56.0,,0.36
HOMI.JK,1.0254763,194.0,,0.49
KLAS.JK,1.0246694,65.0,,0.16
MKPI.JK,1.0244324,20275.0,,0.88
OBMD.JK,1.0237933,157.0,,0.1
TOSK.JK,1.0224835,58.0,,0.28
BREN.JK,1.0224181,3190.0,,58.5
DEWI.JK,1.0216591,116.0,,7.04
AALI.JK,1.0208051,5975.0,,9.17
DRMA.JK,1.0202179,890.0,,1.04
CPIN.JK,1.0201164,3180.0,,35.49
MEJA.JK,1.0197394,87.0,,1.54
ESIP.JK,1.0187833,129.0,,8.04
TPMA.JK,1.018753,418.0,,0.38
MNCN.JK,1.01815,200.0,,1.93
NAIK.JK,1.0179658,80.0,,0.12
KOBX.JK,1.0179396,137.0,,0.13
HATM.JK,1.0169653,356.0,,5.23
MAHA.JK,1.0168864,129.0,,0.15
VAST.JK,1.0168192,115.0,,0.17
PADA.JK,1.0166314,94.0,,0.89
INKP.JK,1.0165229,7025.0,,42.27
POLA.JK,1.0162523,53.0,,0.29
PTPP.JK,1.0157684,175.0,,0.62
INDO.JK,1.0147086,157.0,,4.74
HALO.JK,1.0145041,58.0,,0.26
DAAZ.JK,1.0142262,1545.0,,0.38
SEMA.JK,1.0141584,94.0,,0.25
SPRE.JK,1.0137643,83.0,,0.23
MSIN.JK,1.0135697,462.0,,10.06
CTRA.JK,1.0135665,560.0,,8.44
BBYB.JK,1.0132557,204.0,,2.28
ASSA.JK,1.013068,590.0,,3.04
DIVA.JK,1.0129268,103.0,,0.24
IMJS.JK,1.012533,135.0,,0.21
TKIM.JK,1.0118146,5400.0,,14.04
BCIC.JK,1.011632,117.0,,0.53
TBLA.JK,1.0116243,605.0,,1.56
PPRI.JK,1.0115118,133.0,,0.14
AWAN.JK,1.0114207,155.0,,0.7
FITT.JK,1.0113945,378.0,,0.14
SGER.JK,1.0112249,380.0,,4.48
NPGF.JK,1.0110795,55.0,,0.71
MPMX.JK,1.0110079,950.0,,3.86
MSIE.JK,1.0107094,76.0,,0.24
CGAS.JK,1.0105543,139.0,,0.33
TSPC.JK,1.0104203,2470.0,,1.04
BBRI.JK,1.0103053,2710.0,,684.38
SILO.JK,1.010174,2220.0,,0.7
KOPI.JK,1.0096788,197.0,,0.17
PEGE.JK,1.0096592,136.0,,3.04
CBDK.JK,1.0096394,3330.0,,3.62
MAYA.JK,1.0095556,187.0,,0.11
FAST.JK,1.0092273,212.0,,0.13
ARNA.JK,1.008766,448.0,,0.97
EMDE.JK,1.0085199,69.0,,3.08
AMMN.JK,1.0080777,3280.0,,235.81
INDS.JK,1.0080249,242.0,,0.31
ADHI.JK,1.0080194,152.0,,0.55
MEDS.JK,1.0077626,63.0,,0.96
KKGI.JK,1.0077096,244.0,,0.38
STRK.JK,1.0074422,62.0,,2.19
SSMS.JK,1.0072938,730.0,,9.68
OPMS.JK,1.0065305,89.0,,1.42
SMSM.JK,1.0060264,1605.0,,3.75
KMDS.JK,1.0059255,520.0,,0.12
BNLI.JK,1.0055985,2360.0,,0.22
BSDE.JK,1.005387,540.0,,6.14
BRIS.JK,1.0053847,1685.0,,15.37
BUMI.JK,1.0053725,136.0,,301.96
PANS.JK,1.0050678,1490.0,,3.44
CFIN.JK,1.0045108,318.0,,3.03
CBUT.JK,1.004437,720.0,,0.15
SMDR.JK,1.0039198,272.0,,1.44
OKAS.JK,1.0038894,97.0,,0.11
BDKR.JK,1.0036705,139.0,,2.28
SUNI.JK,1.0036099,615.0,,0.19
AMRT.JK,1.0035514,1380.0,,68.59
AGRO.JK,1.0032836,136.0,,0.5
HEAL.JK,1.0030948,825.0,,5.22
BUKA.JK,1.0030167,98.0,,19.7
BSSR.JK,1.0027368,3970.0,,5.13
APEX.JK,1.002709,117.0,,0.53
TRUS.JK,1.0026151,442.0,,0.52
ASLC.JK,1.0023285,58.0,,0.16
ABMM.JK,1.0022684,2280.0,,0.62
ACRO.JK,1.0020443,58.0,,0.23
MIKA.JK,1.0020221,1700.0,,14.2
KOKA.JK,1.0017023,94.0,,0.24
JARR.JK,1.0013192,1920.0,,2.85
PNBN.JK,1.0012852,885.0,,4.1
AMAN.JK,1.0011164,254.0,,0.12
LPKR.JK,1.0008909,60.0,,5.03
NELY.JK,1.000854,198.0,,0.12
BVIC.JK,1.0007931,77.0,,0.13
PNLF.JK,1.0007448,214.0,,7.22
AGII.JK,1.0004082,2540.0,,0.55
VTNY.JK,1.0003953,55.0,,0.66
PTBA.JK,1.0003673,2290.0,,31.02
CMNT.JK,1.0003556,770.0,,15.61
YOII.JK,1.0000598,89.0,,0.95
TRON.JK,0.99995524,95.0,,1.18
RAAM.JK,0.999893,214.0,,0.12
WEHA.JK,0.99989086,96.0,,0.4
KING.JK,0.9997073,306.0,,0.37
AYLS.JK,0.99899244,186.0,,3.77
ARTO.JK,0.99866295,940.0,,4.43
TOWR.JK,0.99857247,362.0,,17.92
BNBA.JK,0.9984161,740.0,,1.59
MPOW.JK,0.9982331,85.0,,0.22
AISA.JK,0.9975664,95.0,,0.2
JAWA.JK,0.97202015,110.0,,0.94
BULL.JK,0.9717384,328.0,,49.23
PYFA.JK,0.9714127,193.0,,1.52
KIOS.JK,0.9712853,90.0,,2.7
JRPT.JK,0.971237,1075.0,,0.32
WOOD.JK,0.97116965,204.0,,0.11
SLIS.JK,0.9708332,58.0,,1.36
BOLA.JK,0.9704559,151.0,,0.16
JATI.JK,0.97031254,90.0,,0.35
NATO.JK,0.9701627,550.0,,18.8
MKAP.JK,0.96989864,1190.0,,9.61
SHIP.JK,0.96982616,1910.0,,0.15
PGAS.JK,0.96943337,1380.0,,61.27
AUTO.JK,0.9694193,2340.0,,1.59
BNBR.JK,0.96924406,89.0,,58.86
JIHD.JK,0.9686203,416.0,,0.14
DSNG.JK,0.96852154,1135.0,,4.55
DOID.JK,0.96850365,197.0,,0.42
CLEO.JK,0.9678152,370.0,,0.61
BJTM.JK,0.96767783,510.0,,2.69
FUJI.JK,0.9675592,198.0,,6.27
UANG.JK,0.9675485,2020.0,,0.19
PART.JK,0.9667864,108.0,,0.58
PANI.JK,0.9667541,5675.0,,22.76
DKHH.JK,0.96644396,59.0,,3.13
ASII.JK,0.96633923,4590.0,,257.87
IKAN.JK,0.96617,71.0,,0.14
LABA.JK,0.9659317,82.0,,0.28
PSAB.JK,0.96577674,386.0,,29.26
EXCL.JK,0.9656136,2370.0,,9.86
ARKO.JK,0.9655739,5100.0,,16.78
VICI.JK,0.9655119,600.0,,0.21
CASS.JK,0.9654653,1850.0,,0.52
ANTM.JK,0.96536165,2620.0,,251.33
BOBA.JK,0.9651615,298.0,,1.02
PTPW.JK,0.9649956,1305.0,,4.8
OMED.JK,0.96492106,202.0,,5.28
PSKT.JK,0.9648925,175.0,,0.96
COIN.JK,0.9648502,615.0,,3.56
SMDM.JK,0.96445274,575.0,,0.12
YELO.JK,0.9643856,70.0,,3.28
ULTJ.JK,0.96410584,1330.0,,1.32
BBRM.JK,0.9639571,111.0,,1.77
BMTR.JK,0.9639535,112.0,,2.11
IDEA.JK,0.9637136,54.0,,0.11
BAPA.JK,0.9636027,306.0,236.4,5.93
JTPE.JK,0.96345973,590.0,,1.14
AHAP.JK,0.9632552,83.0,,0.33
CLPI.JK,0.9631161,1420.0,,1.55
ENRG.JK,0.9628932,1030.0,,78.54
SMKM.JK,0.9628156,62.0,,0.12
APLN.JK,0.96268296,106.0,,1.05
GZCO.JK,0.9626575,136.0,,0.61
EURO.JK,0.9625316,1660.0,,0.17
RSCH.JK,0.9620525,274.0,,4.51
BUVA.JK,0.961787,740.0,,98.58
SMGR.JK,0.9617257,1425.0,,23.31
BBCA.JK,0.96164536,5700.0,,1234.3
ELIT.JK,0.961505,164.0,,0.2
KONI.JK,0.9614878,2540.0,,0.48
LAPD.JK,0.96085185,56.0,,0.46
PMUI.JK,0.9602587,83.0,,5.83
PRDA.JK,0.9601596,2420.0,,1.13
FORU.JK,0.9601361,2820.0,,2.27
INTP.JK,0.9599835,4150.0,,8.58
MAPA.JK,0.9586944,615.0,,25.6
RUIS.JK,0.9585366,172.0,,0.12
LPPF.JK,0.9584972,1480.0,,1.6
AREA.JK,0.9582608,212.0,,0.27
WIIM.JK,0.9579533,1590.0,1657.2,1.67
MAIN.JK,0.9572593,630.0,768.6,0.53
NICL.JK,0.9569298,490.0,667.6,6.69
HMSP.JK,0.95692945,665.0,667.2,9.11
ESTI.JK,0.95638907,118.0,139.0,0.28
CTTH.JK,0.955998,110.0,154.4,2.1
DGWG.JK,0.9527952,284.0,,2.77
ELPI.JK,0.9526004,1245.0,1483.0,1.46
DATA.JK,0.9515083,1985.0,,2.8
BRPT.JK,0.95148563,1450.0,,280.41
WBSA.JK,0.9514477,650.0,938.2,10.0
FORE.JK,0.94988054,590.0,,2.56
BTPS.JK,0.94964606,955.0,,2.43
MGNA.JK,0.9494524,90.0,,1.48
YUPI.JK,0.9488286,1210.0,,1.53
OBAT.JK,0.94880533,234.0,,0.11
CBRE.JK,0.9487286,585.0,,4.06
SOTS.JK,0.94862336,600.0,,0.28
BIPI.JK,0.94858414,117.0,,54.48
MARK.JK,0.9479598,945.0,,17.28
SOCI.JK,0.94703907,316.0,398.0,1.4
LEAD.JK,0.9468436,88.0,111.7,2.81
TUGU.JK,0.9466458,1140.0,1150.9,1.29
JKON.JK,0.9455656,66.0,69.7,0.13
BRRC.JK,0.9449776,54.0,65.9,0.14
PKPK.JK,0.943528,3190.0,2886.0,6.56
ATAP.JK,0.94342136,400.0,443.6,0.13
RGAS.JK,0.94247985,164.0,119.3,8.16
CNMA.JK,0.9421685,84.0,94.9,3.37
TAMA.JK,0.9413417,151.0,178.7,0.2
BKSL.JK,0.9394087,58.0,,4.77
PACK.JK,0.9393527,232.0,,9.72
HUMI.JK,0.9393178,111.0,,2.32
BATR.JK,0.9388844,78.0,,0.13
NAYZ.JK,0.93754506,54.0,,0.3
MSJA.JK,0.937446,388.0,,3.84
SMIL.JK,0.93697566,284.0,,8.96
GTSI.JK,0.9362918,125.0,,2.09
LSIP.JK,0.935436,1280.0,,9.21
EMTK.JK,0.9349526,490.0,,21.96
AVIA.JK,0.9318531,308.0,,3.41
