Ticker,AI_Score,Harga,MA50,Trx_Miliar
NZIA.JK,1.074626,178.0,,5.54
BSDE.JK,1.0659437,630.0,,20.16
CBDK.JK,1.0629115,3900.0,,5.53
NPGF.JK,1.0616176,70.0,,1.4
ADHI.JK,1.0613852,166.0,,1.1
SMRA.JK,1.0560789,282.0,,2.52
DEWI.JK,1.0497617,117.0,,3.27
BMTR.JK,1.0488263,125.0,,2.87
BTPS.JK,1.048773,925.0,,2.13
PWON.JK,1.0457935,282.0,,11.97
CDIA.JK,1.0454803,870.0,,130.08
CTRA.JK,1.0443727,640.0,,7.36
BANK.JK,1.0439197,238.0,,5.52
UVCR.JK,1.0409319,242.0,,13.8
CPIN.JK,1.0407789,4060.0,,88.69
WIFI.JK,1.0404791,2060.0,,26.59
RATU.JK,1.0385691,5325.0,,42.73
BBYB.JK,1.0375174,262.0,,1.32
ACES.JK,1.0367831,348.0,,3.71
TOWR.JK,1.0366633,378.0,,18.26
BWPT.JK,1.0358642,82.0,,1.98
RBMS.JK,1.0356009,60.0,,9.37
HRUM.JK,1.0355877,805.0,,3.07
MNCN.JK,1.0352696,208.0,,2.34
SMGR.JK,1.0345726,1765.0,,19.11
APEX.JK,1.0344353,141.0,,1.02
KIJA.JK,1.0326461,122.0,170.8,3.88
BUKA.JK,1.0325898,125.0,144.9,9.29
TOBA.JK,1.0319494,432.0,556.7,1.99
FUJI.JK,1.0313519,288.0,342.2,2.98
AALI.JK,1.0307844,6825.0,7484.3,28.59
PPRE.JK,1.0307208,102.0,126.1,1.28
KETR.JK,1.0291741,660.0,,20.01
SNLK.JK,1.0289164,234.0,,1.5
MGRO.JK,1.0287225,645.0,,1.42
BEEF.JK,1.0286031,159.0,,1.15
LPKR.JK,1.0278757,65.0,,1.67
ESIP.JK,1.027447,129.0,,2.26
BBRI.JK,1.0260266,3040.0,,1035.77
DFAM.JK,1.0254478,107.0,,1.8
SSMS.JK,1.0248649,815.0,,18.98
PRDA.JK,1.0248649,2850.0,,1.94
DGWG.JK,1.0243144,306.0,,1.86
GULA.JK,1.0241141,545.0,,14.32
RALS.JK,1.0239593,378.0,,2.35
PADA.JK,1.0235423,138.0,,1.02
PYFA.JK,1.0234188,230.0,,1.25
KOTA.JK,1.023323,111.0,,13.8
DAAZ.JK,1.0215777,1545.0,,1.04
PNBN.JK,1.0212854,930.0,,2.35
KLBF.JK,1.0211595,745.0,,44.44
TCPI.JK,1.0208907,10825.0,,28.55
PNLF.JK,1.0205941,242.0,,3.39
MIKA.JK,1.0200014,1700.0,,44.4
NTBK.JK,1.0199194,69.0,,1.34
UNVR.JK,1.0193738,1665.0,,68.84
CYBR.JK,1.0188204,605.0,,8.32
MDIA.JK,1.0181043,80.0,,7.57
VISI.JK,1.0180442,905.0,,1.23
EMTK.JK,1.0179466,605.0,,17.32
PGEO.JK,1.017697,860.0,,10.64
GMFI.JK,1.017549,53.0,,1.11
BINA.JK,0.99132365,3950.0,,1.84
WIRG.JK,0.99112016,61.0,,1.07
DEWA.JK,0.99103594,334.0,,71.01
NRCA.JK,0.99098974,498.0,,1.68
FORE.JK,0.9909818,730.0,,6.09
ARTO.JK,0.99096304,1160.0,,3.29
GZCO.JK,0.9907362,154.0,,1.74
BRMS.JK,0.9907016,580.0,,171.63
ADRO.JK,0.99030817,2280.0,,78.33
WMUU.JK,0.9902782,53.0,,4.73
PANI.JK,0.9900226,7300.0,,23.51
HMSP.JK,0.98961663,690.0,,10.09
ICBP.JK,0.98951715,6800.0,,26.33
ULTJ.JK,0.98904055,1500.0,,4.06
BIPI.JK,0.9889013,178.0,,59.95
BREN.JK,0.9883935,4120.0,,870.6
KAQI.JK,0.9883354,100.0,,1.08
BUVA.JK,0.98774946,835.0,,121.34
DMAS.JK,0.98722607,159.0,,10.95
BSML.JK,0.98720866,412.0,,3.02
BJTM.JK,0.9870429,525.0,,3.25
ASSA.JK,0.9868509,625.0,,6.01
EXCL.JK,0.9867329,2880.0,,16.38
TLKM.JK,0.9864695,2950.0,,811.59
ARNA.JK,0.9850928,438.0,,1.15
RMKO.JK,0.98359185,340.0,,1.07
RAJA.JK,0.98320705,3720.0,,113.26
ZATA.JK,0.9807437,63.0,,3.79
INDY.JK,0.97980213,2230.0,,20.13
TPMA.JK,0.97978306,438.0,,3.97
ITMG.JK,0.97970074,22000.0,,51.97
TKIM.JK,0.979529,5625.0,,58.52
SRTG.JK,0.9794427,1560.0,,3.1
PTBA.JK,0.97931623,2760.0,,32.05
MIDI.JK,0.9792111,304.0,,18.03
PSKT.JK,0.9787276,226.0,,3.37
SRAJ.JK,0.978691,13000.0,,1.21
TUGU.JK,0.978197,1135.0,,1.11
HRTA.JK,0.978159,2460.0,,14.79
ADMR.JK,0.9781382,1450.0,,36.03
ANTM.JK,0.97800606,2960.0,,441.39
GTSI.JK,0.97721386,140.0,,3.33
MSJA.JK,0.9771311,408.0,,2.51
INKP.JK,0.97657835,7750.0,,63.97
NISP.JK,0.97634125,1280.0,,2.75
ASPR.JK,0.9761814,216.0,,74.43
INDO.JK,0.9761778,161.0,,3.19
TINS.JK,0.9760552,3150.0,,83.73
PTRO.JK,0.97568786,4800.0,,472.74
SMIL.JK,0.97487223,262.0,,1.16
AYAM.JK,0.9748292,308.0,,5.05
IATA.JK,0.9743496,69.0,,3.61
BBNI.JK,0.9741252,3760.0,,195.98
AUTO.JK,0.973758,2510.0,,6.45
JPFA.JK,0.97246176,2390.0,,42.94
ARCI.JK,0.97241235,1175.0,,15.31
HUMI.JK,0.9720011,136.0,,2.99
MEDC.JK,0.9717991,1305.0,,53.44
PSAB.JK,0.97159255,545.0,,26.72
SIMP.JK,0.9712162,565.0,,5.36
BMRI.JK,0.9701148,4170.0,,724.52
SOCI.JK,0.96984047,386.0,,2.37
ASII.JK,0.9696071,4900.0,,793.72
COIN.JK,0.96952534,825.0,,2.2
JGLE.JK,0.9693477,58.0,,35.56
APIC.JK,0.9690878,835.0,,15.7
LSIP.JK,0.9689971,1270.0,,12.79
BBCA.JK,0.9683728,5825.0,,1949.3
CBRE.JK,0.96797085,800.0,,10.29
MBMA.JK,0.9657275,474.0,,42.48
MAPA.JK,0.9650557,625.0,,13.5
VKTR.JK,0.9647632,745.0,,14.48
MDKA.JK,0.9644008,2640.0,,149.71
IRSX.JK,0.9636371,374.0,,13.34
OMED.JK,0.9635279,206.0,,4.1
SINI.JK,0.9631433,12000.0,,11.93
MMIX.JK,0.9626221,525.0,,3.82
INCO.JK,0.9625548,4730.0,,109.34
ELSA.JK,0.9602355,630.0,,8.72
BAIK.JK,0.96001434,515.0,490.9,1.33
HATM.JK,0.9595672,382.0,,10.22
ASGR.JK,0.9589249,1425.0,,1.0
OASA.JK,0.95871544,350.0,,6.26
PKPK.JK,0.9585021,2950.0,,1.45
AMRT.JK,0.9549801,1380.0,,542.87
MARK.JK,0.9549312,800.0,,6.95
BEER.JK,0.95477766,112.0,,2.13
WBSA.JK,0.95409024,640.0,,13.57
NSSS.JK,0.95355076,464.0,,1.02
PPGL.JK,0.9524853,226.0,,3.04
RLCO.JK,0.95097226,2580.0,,1.2
NCKL.JK,0.9508018,885.0,,46.49
DOOH.JK,0.9495204,142.0,,1.67
UNTR.JK,0.94520605,22500.0,,212.31
EMAS.JK,0.9444512,7500.0,,86.1
GPSO.JK,0.94416654,515.0,,6.21
MORA.JK,0.9410442,6850.0,,1.89
ELPI.JK,0.9408796,1495.0,,2.38
SOFA.JK,0.9352154,360.0,,2.2
NINE.JK,0.9241755,90.0,,1.06
TPIA.JK,0.85873353,1900.0,,2039.14
DSSA.JK,0.83043104,615.0,,427.91
