Ticker,AI_Score,Harga,MA50,Trx_Miliar
KRYA.JK,1.1381074,60.0,68.3,1.65
CDIA.JK,1.0996541,870.0,952.0,125.87
ALII.JK,1.0981058,890.0,843.9,1.54
PADA.JK,1.0881767,138.0,151.1,1.38
CBDK.JK,1.0873474,3900.0,4548.4,6.38
CUAN.JK,1.0836112,785.0,,398.05
DAAZ.JK,1.0670415,1545.0,,1.04
AADI.JK,1.0659231,8325.0,,73.39
GULA.JK,1.0646524,545.0,,14.32
FORE.JK,1.0601577,730.0,,6.09
BRPT.JK,1.0592833,1930.0,,1029.93
ADMR.JK,1.0584539,1450.0,,33.49
RMKE.JK,1.0504122,2980.0,,37.47
ZATA.JK,1.0501475,63.0,,5.87
SIDO.JK,1.0492836,384.0,,20.37
PNBN.JK,1.0482111,930.0,,3.48
JGLE.JK,1.0477867,58.0,,30.51
BAIK.JK,1.0466207,515.0,490.9,1.33
AALI.JK,1.045034,6825.0,,28.59
KLBF.JK,1.0447601,745.0,,40.56
SMGR.JK,1.0432185,1765.0,,17.98
STAA.JK,1.0431399,980.0,,5.94
PIPA.JK,1.0418202,117.0,,1.17
BKSL.JK,1.0407863,73.0,,5.88
DEWA.JK,1.0406419,334.0,,95.41
ARCI.JK,1.0404522,1175.0,,15.72
CPIN.JK,1.0397363,4060.0,,80.49
FUJI.JK,1.0396091,288.0,,2.98
TAPG.JK,1.0392786,1540.0,,41.32
NZIA.JK,1.0381539,178.0,,7.39
PPRE.JK,1.0369558,102.0,,1.28
CYBR.JK,1.0367395,605.0,649.5,10.17
BIPI.JK,1.0361041,178.0,,82.59
DMAS.JK,1.0358628,159.0,,17.35
BREN.JK,1.0351967,4120.0,,808.33
BBRI.JK,1.0337251,3040.0,,942.23
BSDE.JK,1.0332698,630.0,,20.16
SIMP.JK,1.0327117,565.0,,5.36
UVCR.JK,1.0326961,242.0,,13.8
SMRA.JK,1.0326138,282.0,,2.52
MIKA.JK,1.032579,1700.0,,44.4
MIDI.JK,1.0325096,304.0,,18.03
BUVA.JK,1.0322447,835.0,,121.34
SNLK.JK,1.0319345,234.0,,1.5
LPKR.JK,1.0316501,65.0,,1.67
PYFA.JK,1.0310948,230.0,,1.25
SSMS.JK,1.031042,815.0,,18.98
APEX.JK,1.0307883,141.0,181.1,1.02
UNTR.JK,1.0306805,22500.0,28280.8,193.72
PTRO.JK,1.0303146,4800.0,4994.3,468.71
KIJA.JK,1.029452,122.0,170.8,3.88
NTBK.JK,1.0283291,69.0,81.0,1.48
MNCN.JK,1.0276957,208.0,230.4,2.34
TOWR.JK,1.0272218,378.0,467.5,19.97
BMRI.JK,1.0271713,4170.0,4225.0,729.6
COCO.JK,1.0262449,242.0,,2.0
PNLF.JK,1.0254416,242.0,,3.39
BWPT.JK,1.0253912,82.0,,1.98
VKTR.JK,1.0251753,745.0,,13.88
MBMA.JK,1.0236846,474.0,,32.48
AVIA.JK,1.0236264,336.0,,3.01
INDO.JK,1.0234053,161.0,,3.19
RMKO.JK,1.0231934,340.0,,1.07
MDIA.JK,1.0229801,80.0,,7.57
PADI.JK,1.022283,90.0,,23.98
BANK.JK,1.0222331,238.0,,5.52
EPAC.JK,1.0222311,62.0,,1.52
ASII.JK,1.0220929,4900.0,,793.72
BJBR.JK,1.0218754,780.0,,1.67
YELO.JK,1.0216459,87.0,,2.66
KAQI.JK,1.0213488,100.0,,1.08
PSKT.JK,1.0212529,226.0,,3.37
MSIN.JK,1.0212435,370.0,,24.83
BMTR.JK,1.0209583,125.0,,2.87
HRTA.JK,1.0208322,2460.0,,14.79
BBCA.JK,1.0206555,5825.0,,1949.3
TLKM.JK,1.0205784,2950.0,,811.59
DSNG.JK,1.0204309,1210.0,,15.25
PWON.JK,1.0199192,282.0,,11.97
BULL.JK,1.0199094,380.0,,32.35
NISP.JK,1.0198252,1280.0,,2.75
ASSA.JK,1.0195208,625.0,,6.01
UNVR.JK,1.0195011,1665.0,,68.84
GIAA.JK,1.0194335,56.0,,1.18
SINI.JK,1.0188212,12000.0,,8.07
NCKL.JK,1.0185027,885.0,,46.49
MEDS.JK,1.0179859,86.0,,1.89
DIVA.JK,1.0173748,128.0,148.8,1.02
RBMS.JK,1.017051,60.0,61.6,7.79
BTPS.JK,1.0167927,925.0,1004.3,2.18
BEEF.JK,1.0167592,159.0,215.4,1.42
BRMS.JK,1.0165704,580.0,759.1,157.43
FIRE.JK,1.0165088,109.0,136.4,1.93
GZCO.JK,1.0163393,154.0,195.5,1.84
INTP.JK,1.016188,4970.0,5179.7,20.07
MEDC.JK,1.0161272,1305.0,1615.7,53.31
HMSP.JK,1.0158988,690.0,685.6,13.32
RALS.JK,1.0158978,378.0,,2.35
BUMI.JK,1.0156721,161.0,,200.95
INDY.JK,1.0155445,2230.0,,20.13
NRCA.JK,1.0154111,498.0,,1.68
BNBR.JK,1.0150532,127.0,158.3,52.07
MGRO.JK,1.0148178,645.0,,1.42
WMUU.JK,1.0145012,53.0,,4.73
AMMN.JK,0.99444145,3890.0,,1416.95
MPMX.JK,0.994326,1130.0,,16.63
KOTA.JK,0.9942266,111.0,,13.8
ASPR.JK,0.9942214,216.0,,74.43
AKRA.JK,0.9933814,1280.0,,40.56
BNGA.JK,0.9933143,1615.0,,2.11
TUGU.JK,0.9931943,1135.0,,1.11
SSIA.JK,0.99282384,1690.0,,11.16
EXCL.JK,0.99230874,2880.0,,16.38
GJTL.JK,0.99211246,1205.0,,3.63
PGAS.JK,0.99183756,1825.0,,48.8
CLEO.JK,0.9910473,390.0,,1.1
BINA.JK,0.99093217,3950.0,,1.84
POWR.JK,0.9898281,700.0,,1.86
PSAB.JK,0.9897005,545.0,,26.72
MAPA.JK,0.98877174,625.0,,16.39
TAMA.JK,0.98865914,195.0,,1.08
CMRY.JK,0.9877849,4790.0,,9.52
BDMN.JK,0.9841801,4610.0,,12.64
MMIX.JK,0.98400605,525.0,,4.25
GPSO.JK,0.9838525,515.0,,6.21
INDF.JK,0.983331,6575.0,,80.13
WIIM.JK,0.98279065,1600.0,,3.25
WBSA.JK,0.9826121,640.0,,13.57
JPFA.JK,0.98249066,2390.0,,42.94
BRIS.JK,0.98223126,1945.0,,24.62
HRUM.JK,0.9817753,805.0,,3.07
