Ticker,AI_Score,Harga,MA50,Trx_Miliar
UDNG.JK,1.0857029,1260.0,,2.59
WGSH.JK,1.0801082,120.0,,0.33
TBIG.JK,1.0747315,1400.0,,1.62
BSML.JK,1.0711652,488.0,,7.99
SMIL.JK,1.0658233,274.0,,13.49
PGEO.JK,1.0641814,845.0,,8.43
NZIA.JK,1.0597516,144.0,,3.92
MTEL.JK,1.0596709,476.0,,20.29
UCID.JK,1.057888,374.0,,0.39
DEFI.JK,1.0570086,106.0,,4.13
CMNT.JK,1.0539751,760.0,,12.31
ASLC.JK,1.053793,59.0,,0.27
ASPI.JK,1.0535176,384.0,,0.15
BEER.JK,1.0524873,77.0,,0.3
TRUE.JK,1.0503327,56.0,,5.62
CSIS.JK,1.0485233,158.0,,0.16
CSMI.JK,1.0473706,62.0,,0.44
BANK.JK,1.0473086,264.0,,28.72
PTPP.JK,1.0471956,189.0,,0.46
LAJU.JK,1.0456034,61.0,,7.45
WINE.JK,1.0450583,157.0,,0.19
WIRG.JK,1.0450411,53.0,,1.55
SURI.JK,1.0447538,61.0,,0.13
COIN.JK,1.042495,680.0,,6.54
AGRO.JK,1.0405596,146.0,,0.52
AALI.JK,1.0403204,5850.0,,9.29
MSJA.JK,1.0396208,394.0,,4.86
KETR.JK,1.0395827,525.0,,11.98
KBLV.JK,1.0391054,101.0,,1.73
MAPI.JK,1.0389405,1515.0,,82.88
NEST.JK,1.038144,535.0,,2.81
KJEN.JK,1.0362452,110.0,,0.27
BUKA.JK,1.0359383,99.0,,55.25
DEWI.JK,1.0350156,118.0,,6.82
LCKM.JK,1.0346862,103.0,,1.65
INDO.JK,1.0346043,156.0,,5.03
MKPI.JK,1.0341817,20775.0,,1.09
KMDS.JK,1.0336264,520.0,,0.12
KDTN.JK,1.0332822,695.0,,0.39
HALO.JK,1.0332358,59.0,,0.19
CASH.JK,1.030843,154.0,,0.14
BSDE.JK,1.0304018,555.0,,7.21
FUTR.JK,1.0301992,157.0,,4.38
SOLA.JK,1.0301337,100.0,,0.24
AMMN.JK,1.0301192,3240.0,,266.17
PWON.JK,1.029887,246.0,,16.01
MORA.JK,1.0297883,7300.0,,9.63
HOMI.JK,1.0295997,197.0,,0.45
OBAT.JK,1.0293751,234.0,,0.12
HOKI.JK,1.0289189,54.0,,0.47
IMAS.JK,1.0288941,805.0,,2.43
BCIC.JK,1.0275677,131.0,,2.31
GRPH.JK,1.0274296,57.0,,0.14
ACRO.JK,1.0271345,61.0,,0.28
MDLA.JK,1.0269632,204.0,,0.29
RICY.JK,1.024381,90.0,,2.34
JSMR.JK,1.0239984,2940.0,,70.95
AVIA.JK,1.023969,312.0,,3.93
MPIX.JK,1.0238518,99.0,,0.64
MKAP.JK,1.0234308,1225.0,,11.54
BFIN.JK,1.0232943,755.0,,11.98
AADI.JK,1.023006,8075.0,,113.62
SOTS.JK,1.0224077,590.0,,0.26
PRIM.JK,1.0222368,85.0,,0.31
DRMA.JK,1.0218549,890.0,,1.77
MNCN.JK,1.0214306,200.0,,2.11
KRAS.JK,1.0211236,199.0,,1.36
FAST.JK,1.02091,218.0,,0.12
JECC.JK,1.0204309,650.0,,1.92
TALF.JK,1.0202256,650.0,,0.14
NPGF.JK,1.0199672,56.0,,1.08
SCMA.JK,1.0197784,200.0,,18.13
CBPE.JK,1.0196135,274.0,,0.18
TOWR.JK,1.0195435,374.0,,19.41
GPSO.JK,1.0195109,408.0,,16.15
BDMN.JK,1.0194772,4010.0,,5.65
RBMS.JK,1.0194551,75.0,,11.76
CUAN.JK,1.0184534,580.0,,143.5
NOBU.JK,1.0182008,442.0,,0.22
MINA.JK,1.0179942,270.0,,20.77
BBYB.JK,1.0178435,208.0,,2.89
FIRE.JK,1.0177954,100.0,,1.23
PSAB.JK,1.0177339,406.0,,31.62
HBAT.JK,1.0172241,294.0,,0.76
ADHI.JK,1.0170573,155.0,,0.51
MYOR.JK,1.0169194,1870.0,,10.84
MCAS.JK,1.0168664,178.0,,0.11
KOCI.JK,1.0168054,100.0,,7.82
CHIP.JK,1.0165578,935.0,,0.11
BREN.JK,1.0164312,3510.0,,144.8
SMSM.JK,1.0162356,1600.0,,2.98
KKGI.JK,1.0160962,264.0,,0.26
IATA.JK,1.0160508,65.0,,2.92
BNBR.JK,1.0160121,95.0,,73.31
KOBX.JK,1.0155181,141.0,,0.36
ERAA.JK,1.0154325,358.0,,7.93
ACES.JK,1.0154207,336.0,,7.44
RISE.JK,1.0153649,955.0,,0.4
KOPI.JK,1.0149256,179.0,,0.11
MLPT.JK,1.0147378,18175.0,,1.21
MOLI.JK,1.0146074,248.0,,0.98
KIOS.JK,1.014192,84.0,,8.52
POLA.JK,1.0141115,55.0,,0.51
DIVA.JK,1.014093,108.0,,0.49
ARTO.JK,1.0138724,920.0,,5.88
HMSP.JK,1.0134258,645.0,,11.88
DPUM.JK,1.0132844,102.0,,5.53
GGRM.JK,1.0132641,16525.0,,20.06
ESIP.JK,1.013224,126.0,,30.44
MIKA.JK,1.0130743,1710.0,,11.59
SLIS.JK,1.0130163,60.0,,1.38
STAA.JK,1.0129241,1040.0,,4.47
SDMU.JK,1.0126972,84.0,,10.7
ELIT.JK,1.0126333,170.0,,0.3
VTNY.JK,1.0125133,58.0,,0.86
LABS.JK,1.0121323,142.0,,0.11
PACK.JK,1.0120612,232.0,,13.91
ATAP.JK,1.0118933,412.0,,0.2
DWGL.JK,1.0114546,232.0,,0.45
LABA.JK,1.0113348,88.0,,0.83
ISEA.JK,1.0113003,63.0,,0.12
SDRA.JK,1.0110486,208.0,,0.13
DLTA.JK,1.0108197,1910.0,,0.53
BMTR.JK,1.0108063,114.0,,2.75
NATO.JK,1.0105985,550.0,,35.76
EMTK.JK,1.010558,500.0,,34.39
SMGA.JK,1.0105453,65.0,,0.58
GGRP.JK,1.0105075,290.0,,0.12
RALS.JK,1.0103066,366.0,,1.89
NSSS.JK,1.0102938,550.0,,5.75
INDS.JK,1.0102903,254.0,,0.29
DCII.JK,1.0098144,182000.0,,0.14
TAMA.JK,1.0092784,150.0,,0.36
ROTI.JK,1.0092671,620.0,,0.65
PADI.JK,1.0089653,65.0,,5.9
FILM.JK,1.0089524,1655.0,,5.46
NRCA.JK,1.008922,424.0,,1.02
SINI.JK,1.0086597,9275.0,,3.7
APEX.JK,1.0084875,120.0,,0.36
