Ticker
BBCA.JK
BBRI.JK
BMRI.JK
BBNI.JK
ASII.JK
TLKM.JK
AMMN.JK
BREN.JK
TPIA.JK
BRPT.JK
ADRO.JK
UNTR.JK
GOTO.JK
ICBP.JK
INDF.JK
AMRT.JK
KLBF.JK
CPIN.JK
UNVR.JK
ISAT.JK
MDKA.JK
INKP.JK
SMGR.JK
INCO.JK
PGAS.JK
AKRA.JK
BRIS.JK
MTEL.JK
MYOR.JK
PTBA.JK
ITMG.JK
ANTM.JK
ARTO.JK
EXCL.JK
MEDC.JK
MAPI.JK
HRUM.JK
BUMI.JK
INTP.JK
TKIM.JK
JPFA.JK
TOWR.JK
TBIG.JK
CTRA.JK
BSDE.JK
PWON.JK
SMRA.JK
ACES.JK
ERAA.JK
AALI.JK