Ticker,AI_Score,Harga_Terakhir,Trx_Harian_Miliar
LAJU.JK,65.612144,69.0,3.36
MYOR.JK,63.99207,1840.0,6.84
IATA.JK,62.007103,68.0,3.58
MAPI.JK,60.619263,1495.0,42.12
EPAC.JK,60.471115,71.0,1.25
IRSX.JK,59.082726,374.0,23.92
SMRA.JK,49.068947,286.0,3.52
CUAN.JK,44.80368,630.0,373.91
PTBA.JK,35.05416,2780.0,39.53
BNBR.JK,30.425611,129.0,75.21
TPMA.JK,29.86486,488.0,3.66
KETR.JK,21.107038,590.0,8.4
GZCO.JK,19.504618,155.0,1.64
TAPG.JK,19.351238,1520.0,40.22
TRIN.JK,18.94812,468.0,1.09
MTEL.JK,-39.408997,520.0,6.03
NTBK.JK,-55.032616,74.0,1.61
