Ticker,AI_Score,Harga,MA50,Trx_Miliar
GGRM.JK,17497.152,16200.0,,14.52
UNTD.JK,16105.874,71.0,,1.01
BBCA.JK,7161.5127,6275.0,,2893.8
INET.JK,6922.887,204.0,,36.78
AALI.JK,6816.0684,6200.0,,23.08
SMLE.JK,6749.3926,95.0,,1.21
AADI.JK,6061.8145,8125.0,,159.89
INCO.JK,5945.0083,4990.0,,123.6
ULTJ.JK,5830.151,1390.0,,4.36
STRK.JK,5228.302,76.0,,9.48
ASII.JK,4976.6455,4800.0,,375.76
CPIN.JK,4697.8784,3350.0,,31.69
CBDK.JK,4604.4,3800.0,,15.09
BYAN.JK,4283.5054,9600.0,,3.05
BMRI.JK,4111.504,4490.0,,1253.81
UNTR.JK,4080.5322,23000.0,,103.76
BBRI.JK,3937.2544,3080.0,,1512.06
CMRY.JK,3760.5718,4320.0,,12.71
SLIS.JK,3601.9739,64.0,,1.51
BBNI.JK,3483.0974,3800.0,,376.13
EMAS.JK,3431.8496,7000.0,,252.29
INDO.JK,3247.9597,170.0,,8.74
SUPA.JK,3099.4668,610.0,,47.07
MARK.JK,2979.8845,880.0,,26.1
BSSR.JK,2829.3352,4300.0,,7.03
NETV.JK,2777.7815,56.0,,2.04
MDIY.JK,2468.4048,875.0,,1.84
BDMN.JK,2431.5608,4040.0,,13.4
MIDI.JK,2380.3247,290.0,,3.17
MEDS.JK,2306.605,75.0,,3.24
CITA.JK,2274.5586,3090.0,,1.1
ABMM.JK,2149.3557,2450.0,,2.18
ADRO.JK,2139.6165,2330.0,,72.89
AMMN.JK,2030.775,3720.0,,541.39
EXCL.JK,1945.025,2580.0,,26.72
BTPS.JK,1936.4807,1005.0,,4.98
ARTO.JK,1882.9567,1000.0,,5.83
SGER.JK,1694.5015,394.0,,11.18
GHON.JK,1673.8252,1985.0,,1.29
AMRT.JK,1631.3134,1425.0,,150.62
MDIA.JK,1578.1412,76.0,,17.2
MAPA.JK,1552.5634,595.0,,9.12
AUTO.JK,1418.9022,2460.0,,3.73
MUTU.JK,1388.2355,112.0,,1.16
BIRD.JK,1218.8129,1600.0,,3.88
SRSN.JK,1208.9706,64.0,,4.47
ANTM.JK,1198.5803,3160.0,,745.35
SSIA.JK,1179.1246,1675.0,,33.59
JMAS.JK,1163.4226,236.0,,1.77
DAAZ.JK,1162.926,1730.0,,1.29
BNGA.JK,1151.2139,1600.0,,9.47
SIDO.JK,1115.6387,390.0,,8.82
AKRA.JK,1109.4211,1225.0,,35.83
RSCH.JK,1102.8888,318.0,,7.11
PSAB.JK,1085.9679,448.0,,103.64
BREN.JK,1056.9323,3740.0,,234.73
BJBR.JK,1053.2554,775.0,,2.92
SINI.JK,999.5789,9600.0,,8.24
BBTN.JK,999.13336,1250.0,,32.64
KOKA.JK,983.80676,103.0,,2.2
APIC.JK,978.51624,585.0,,1.76
MLPL.JK,974.7852,82.0,,1.7
PGAS.JK,932.6459,1565.0,,67.27
CMNT.JK,928.91907,790.0,,17.56
MBMA.JK,918.80005,515.0,,117.81
JTPE.JK,900.4482,605.0,,1.32
BRIS.JK,891.7852,1850.0,,43.51
LSIP.JK,882.03564,1285.0,,16.78
BRPT.JK,881.7537,1685.0,,541.16
ASGR.JK,869.3494,1520.0,,1.04
TSPC.JK,822.8487,2500.0,,2.72
HRTA.JK,777.2169,2250.0,,53.92
ARNA.JK,764.853,426.0,,1.55
ACES.JK,755.84424,374.0,,15.94
CTRA.JK,749.01013,590.0,,11.75
BSDE.JK,743.0924,610.0,,10.87
DRMA.JK,730.42883,930.0,,1.38
FILM.JK,714.40326,1780.0,,9.1
JSMR.JK,710.8464,2720.0,,21.18
BFIN.JK,706.7781,715.0,,7.69
TBLA.JK,693.1182,630.0,,1.36
GJTL.JK,686.78876,1190.0,,6.19
MTDL.JK,662.1602,540.0,,1.7
SIMP.JK,649.75964,550.0,,8.51
BANK.JK,643.76324,280.0,,2.35
TBIG.JK,640.8234,1430.0,,6.54
DSNG.JK,633.11115,1130.0,,15.4
EMTK.JK,619.90643,580.0,,21.49
ADMR.JK,617.3116,1600.0,,64.27
RALS.JK,610.0888,386.0,,2.47
AVIA.JK,600.79083,330.0,,4.78
RLCO.JK,597.3878,3450.0,,9.55
BJTM.JK,579.6426,520.0,,5.44
NICL.JK,577.5126,650.0,,14.14
JPFA.JK,567.5769,1925.0,,63.43
ARKO.JK,567.5436,6125.0,,15.73
TKIM.JK,561.18787,6125.0,,22.44
DEFI.JK,558.78906,145.0,,26.79
KRYA.JK,556.9438,63.0,,3.57
RMKO.JK,555.60144,318.0,,2.92
SOFA.JK,552.51746,270.0,,1.07
MSTI.JK,544.06586,1240.0,,1.97
WIFI.JK,539.82965,1660.0,,54.13
SMSM.JK,532.51337,1650.0,,4.12
ESSA.JK,523.45013,665.0,,108.17
TRON.JK,520.65753,102.0,,2.74
YOII.JK,498.96732,89.0,,1.32
NISP.JK,496.0262,1255.0,,5.4
PADI.JK,488.04514,74.0,,18.5
RMKE.JK,487.2018,2240.0,,29.52
ALII.JK,478.3515,810.0,,1.11
SRTG.JK,473.2015,1515.0,,6.74
PIPA.JK,470.92648,116.0,,10.23
OMED.JK,469.65497,206.0,,6.09
ASSA.JK,456.52728,655.0,,6.85
KEEN.JK,453.09113,840.0,,8.05
PART.JK,452.08142,107.0,,1.68
PWON.JK,451.31223,256.0,,37.82
RAJA.JK,445.88885,3790.0,,159.8
MBSS.JK,131.04321,2600.0,,8.45
INKP.JK,130.69617,7650.0,,37.36
TUGU.JK,130.6799,1145.0,,2.56
RGAS.JK,128.38141,186.0,,15.22
DILD.JK,127.51372,117.0,,1.39
PGEO.JK,126.64607,905.0,,20.2
INDS.JK,124.7753,284.0,,2.07
UVCR.JK,124.57979,181.0,,46.04
DPUM.JK,124.205376,113.0,,1.16
ASLI.JK,123.45981,228.0,,1.43
HMSP.JK,121.500595,605.0,,17.43
CTTH.JK,120.5517,137.0,,2.9
KOTA.JK,120.07477,106.0,,35.19
TOBA.JK,119.76062,412.0,,4.37
INDF.JK,119.04651,6750.0,,55.21
AHAP.JK,116.8772,91.0,,2.28
MEDC.JK,115.38005,1180.0,,133.48
GIAA.JK,113.95254,57.0,,3.1
VICI.JK,113.626755,625.0,,3.22
LCKM.JK,113.18884,123.0,,38.09
HRUM.JK,112.993454,810.0,,13.58
MIKA.JK,112.650116,1595.0,,7.1
PACK.JK,111.92365,254.0,,42.05
RATU.JK,111.37244,4770.0,,37.19
KAQI.JK,109.54412,89.0,,6.02
KOCI.JK,108.78499,88.0,,1.08
GSMF.JK,107.96464,82.0,,1.38
RBMS.JK,106.02133,57.0,,6.72
BEEF.JK,104.009674,160.0,,2.68
INTP.JK,102.75996,4200.0,,9.97
ASHA.JK,100.1901,59.0,,2.19
DEWA.JK,98.71754,358.0,,398.1
KLBF.JK,98.49059,720.0,,97.1
FIRE.JK,97.49529,106.0,,1.47
BWPT.JK,96.637436,77.0,,9.35
PADA.JK,96.20596,123.0,,4.05
ESIP.JK,93.685135,143.0,,36.83
TLKM.JK,86.17548,2960.0,,590.4
MGLV.JK,83.88654,8725.0,,2.88
LPPF.JK,82.12611,1580.0,,2.68
BAJA.JK,81.61523,167.0,,1.35
BUMI.JK,80.732086,168.0,,1113.09
SMDR.JK,80.66281,290.0,,3.21
GMFI.JK,79.454834,54.0,,3.12
PNBN.JK,77.43421,935.0,,1.92
PKPK.JK,76.384384,2620.0,,2.49
KRAS.JK,75.98542,206.0,,2.16
BUVA.JK,72.73785,830.0,,227.75
REAL.JK,72.14282,51.0,,1.84
SOCI.JK,71.86461,326.0,,5.14
NIKL.JK,71.75294,212.0,,4.28
MAIN.JK,71.746254,720.0,,1.51
WIRG.JK,71.40549,58.0,,3.15
