Ticker,AI_Score,Harga,MA50,Trx_Miliar
COIN.JK,1.0794631,700.0,,2.82
BBRI.JK,1.074296,2850.0,,1653.01
KAQI.JK,1.0614417,89.0,,2.37
MSJA.JK,1.054838,398.0,,4.52
FORE.JK,1.0520585,690.0,,7.75
RLCO.JK,1.0453056,2420.0,,3.57
NSSS.JK,1.0438453,366.0,,2.73
MIKA.JK,1.0433958,1500.0,,13.57
BMRI.JK,1.0430603,4250.0,,1498.9
AALI.JK,1.04228,6050.0,,18.39
VKTR.JK,1.0413736,600.0,,51.82
LAPD.JK,1.0399605,65.0,,2.12
TLKM.JK,1.0389547,2870.0,,786.69
ELPI.JK,1.0374404,1150.0,1672.1,1.59
ASPR.JK,1.035446,165.0,,65.03
ZATA.JK,1.0349591,54.0,,9.65
BRPT.JK,1.0344241,1650.0,,708.37
NIKL.JK,1.0343286,179.0,,7.08
DEWA.JK,1.0342088,294.0,,253.26
CPIN.JK,1.0340288,3260.0,,48.53
SIDO.JK,1.0321537,370.0,,8.82
UDNG.JK,1.0299132,1315.0,,2.22
MPOW.JK,1.0294969,96.0,,1.01
MAPI.JK,1.0294135,1485.0,,104.16
CBRE.JK,1.0288455,665.0,,16.94
AMRT.JK,1.0286411,1335.0,,125.21
PADI.JK,1.02785,68.0,,27.81
NAYZ.JK,1.0272117,57.0,,1.36
ASGR.JK,1.0271441,1455.0,,1.24
MDKA.JK,1.0268255,2470.0,,296.78
AYAM.JK,1.0261437,332.0,,13.15
TAPG.JK,1.0261354,1370.0,,32.41
ASLI.JK,1.0246145,214.0,,1.27
ARKO.JK,1.02453,5000.0,,19.57
IRSX.JK,1.0237832,282.0,,24.05
CTTH.JK,1.0232178,140.0,,5.64
SIMP.JK,1.0231949,510.0,,11.66
MDIA.JK,1.0231146,68.0,,4.91
FOLK.JK,1.0229744,218.0,,1.76
STAA.JK,1.0226932,945.0,,6.22
UNTR.JK,1.0225492,21750.0,,116.61
WBSA.JK,1.0224723,715.0,,27.59
MORA.JK,1.0224202,6325.0,,2.21
OILS.JK,1.0223582,220.0,,2.63
BUVA.JK,1.0221509,715.0,,148.95
BDKR.JK,1.0219177,124.0,,1.83
ASII.JK,1.021594,4700.0,,378.46
DSNG.JK,1.021477,1095.0,,11.97
HUMI.JK,1.0207964,114.0,,11.19
INDO.JK,1.0207725,164.0,,6.15
BKSL.JK,1.0206451,62.0,,18.53
UNVR.JK,1.0205799,1635.0,,35.68
DIVA.JK,1.0198143,104.0,,1.1
SMIL.JK,1.0197989,240.0,,2.19
TKIM.JK,1.0196193,5600.0,,42.27
PSKT.JK,1.0195053,180.0,,5.75
AKRA.JK,1.019155,1265.0,,41.3
HRTA.JK,1.018702,1790.0,,35.6
BSML.JK,1.0179273,402.0,,7.44
PYFA.JK,1.0176412,193.0,,3.44
MDIY.JK,1.0175133,850.0,,1.06
TOOL.JK,1.017462,54.0,,1.4
EURO.JK,1.0172964,1380.0,,1.58
FUTR.JK,1.0170474,136.0,,2.66
NETV.JK,1.0169624,54.0,,1.71
SUPA.JK,1.016852,615.0,,113.81
TINS.JK,1.0168059,3140.0,,221.47
KJEN.JK,1.0167346,115.0,,2.02
ESIP.JK,1.0164485,110.0,,7.42
MSIE.JK,1.0163915,89.0,106.4,1.06
KLBF.JK,1.0163846,725.0,,50.47
BRMS.JK,1.0163363,480.0,,199.49
BIPI.JK,1.016148,140.0,,165.06
NINE.JK,1.0161021,79.0,,1.48
WIRG.JK,1.0158244,56.0,,5.4
BNBR.JK,1.0155028,98.0,156.1,117.64
KIJA.JK,1.0155007,114.0,,10.64
PWON.JK,1.0154817,256.0,,51.56
MGLV.JK,1.0154775,8350.0,,1.29
ULTJ.JK,1.0154128,1320.0,,8.2
KOTA.JK,1.0149778,82.0,,10.21
COCO.JK,1.014857,180.0,,3.93
IPCC.JK,1.0148083,1205.0,,1.84
ELSA.JK,1.01448,600.0,,18.13
INET.JK,1.0143995,186.0,,46.19
SINI.JK,1.0141538,9000.0,,18.24
MAIN.JK,1.0138623,670.0,,1.75
SSMS.JK,1.0138113,730.0,,9.26
JPFA.JK,1.0132377,1860.0,,88.42
ANTM.JK,1.0128864,2720.0,,820.6
INCO.JK,1.0126997,4270.0,,137.13
DOOH.JK,1.0123557,121.0,,4.53
TOTL.JK,1.0123054,1050.0,,4.71
ENRG.JK,1.0121577,1380.0,,122.41
MYOR.JK,1.0118876,1645.0,,10.77
KOKA.JK,1.011882,89.0,,1.23
MINA.JK,1.011637,280.0,,81.15
BULL.JK,1.0115509,326.0,,118.55
ARCI.JK,1.0114603,870.0,,58.39
TMPO.JK,1.0111948,126.0,,1.91
OMED.JK,1.0109856,196.0,,5.36
DKFT.JK,1.0108368,620.0,,6.16
ERAL.JK,1.0107951,260.0,,1.48
GTSI.JK,1.0107282,124.0,,8.4
NICL.JK,1.0101069,525.0,,4.48
SNLK.JK,1.0100487,234.0,241.9,3.07
BBCA.JK,1.0098953,5825.0,6094.0,3538.69
ASHA.JK,1.0098922,57.0,70.0,2.6
ADRO.JK,1.0098504,2250.0,2373.2,109.39
SRSN.JK,1.0098422,62.0,66.1,2.43
RBMS.JK,1.0098327,53.0,62.8,1.59
TPMA.JK,1.0096874,362.0,528.7,2.42
MUTU.JK,1.009602,105.0,105.6,4.1
PRDA.JK,1.0095354,2410.0,2452.3,1.37
PTRO.JK,1.0094633,4010.0,4919.9,373.77
AHAP.JK,1.0094516,78.0,102.3,2.34
NISP.JK,1.0093985,1195.0,1321.0,10.01
MEDC.JK,1.009304,1215.0,1534.7,93.35
PACK.JK,1.0091345,240.0,256.0,71.57
PKPK.JK,1.0088557,2680.0,2678.4,3.1
MEDS.JK,1.0082331,69.0,,2.55
GPSO.JK,1.0079982,312.0,,3.12
UVCR.JK,1.0077521,180.0,,27.29
BTPS.JK,1.0076337,935.0,,6.8
INTP.JK,1.0067731,4160.0,,16.55
CMRY.JK,1.0065182,4160.0,,17.06
NTBK.JK,1.006512,55.0,,1.57
UNSP.JK,1.0064877,195.0,,1.2
RSCH.JK,1.0064535,318.0,,7.72
BSDE.JK,1.0063747,580.0,,8.58
BUMI.JK,1.0063616,140.0,,667.67
PPRE.JK,1.0062408,80.0,,2.43
AUTO.JK,1.0062317,2390.0,,6.27
BAIK.JK,1.0060363,575.0,521.0,1.84
ARTO.JK,1.006021,970.0,,8.62
CUAN.JK,1.0059892,665.0,,646.62
FUJI.JK,1.0059547,270.0,,4.33
IMPC.JK,1.0059048,1600.0,,62.12
BEEF.JK,1.0058573,152.0,,1.28
MIDI.JK,1.0058122,296.0,,5.09
OASA.JK,1.0057033,236.0,,14.07
TSPC.JK,1.0056276,2400.0,,4.08
BBKP.JK,1.0055337,52.0,,7.14
WEHA.JK,1.005499,95.0,,5.94
TUGU.JK,0.99219805,1095.0,,2.89
DEFI.JK,0.99216694,116.0,,10.47
ITMG.JK,0.99208,22350.0,,116.36
CYBR.JK,0.99206734,580.0,,17.42
BJTM.JK,0.99196553,505.0,,7.55
