Ticker,AI_Score,Harga,MA50,Trx_Miliar
LCKM.JK,1.1355443,96.0,,5.2
ROTI.JK,1.0473951,540.0,,1.3
DEFI.JK,1.046562,103.0,,4.75
KAEF.JK,1.0417918,428.0,,1.19
MAHA.JK,1.0392808,144.0,,1.36
PGEO.JK,1.0380846,855.0,,25.95
CDIA.JK,1.0360669,705.0,,163.44
FIRE.JK,1.0349513,97.0,,1.38
PMUI.JK,1.0348045,67.0,,3.58
MOLI.JK,1.0339664,195.0,,1.45
MTEL.JK,1.0328511,500.0,,10.98
MYOR.JK,1.0322846,1760.0,,15.68
PNBN.JK,1.0314484,870.0,,7.13
MUTU.JK,1.031383,102.0,,1.54
PNLF.JK,1.0313604,216.0,,13.75
GOLF.JK,1.0290678,133.0,,1.47
DIVA.JK,1.0279402,110.0,,1.09
BSML.JK,1.0270635,398.0,,6.46
KLBF.JK,1.0269345,720.0,,72.0
NETV.JK,1.0261822,53.0,,2.22
ADHI.JK,1.0257869,151.0,,1.65
CBDK.JK,1.0256503,3580.0,,13.83
BJBR.JK,1.0252565,760.0,,4.07
MLPL.JK,1.0251557,75.0,,2.28
RALS.JK,1.0251063,366.0,,4.12
MIKA.JK,1.0250089,1580.0,,52.83
UVCR.JK,1.0250007,193.0,,23.97
DGWG.JK,1.024892,298.0,,3.91
MNCN.JK,1.0247983,202.0,,5.6
TBIG.JK,1.0245843,1500.0,1614.4,1.77
COIN.JK,1.0244553,715.0,1103.0,3.72
ICBP.JK,1.0241184,6625.0,7030.5,44.12
JGLE.JK,1.0240709,53.0,69.7,39.33
INTP.JK,1.0239536,4270.0,4669.0,22.18
ARTO.JK,1.0238969,1035.0,1279.2,4.31
JSMR.JK,1.0232708,2930.0,2927.9,12.59
RCCC.JK,1.0228206,99.0,106.4,1.05
VISI.JK,1.0224931,1000.0,735.9,6.71
AYAM.JK,1.0222186,300.0,325.6,8.62
NIKL.JK,1.0221416,210.0,,1.33
AGRO.JK,1.0220367,145.0,,1.33
PTPP.JK,1.0220245,186.0,,1.6
DILD.JK,1.0207367,111.0,,2.18
CTRA.JK,1.0200076,580.0,,14.47
AVIA.JK,1.0196297,316.0,,5.44
ASRI.JK,1.0192156,108.0,,1.36
SMRA.JK,1.0185918,284.0,,5.91
GIAA.JK,1.0185302,53.0,,4.69
BINA.JK,1.0183465,3900.0,,2.1
PYFA.JK,1.0182748,194.0,,4.74
DFAM.JK,1.0182682,104.0,,4.0
INCO.JK,1.0176445,4390.0,5845.3,140.37
MPOW.JK,1.0176414,109.0,111.4,3.71
PWON.JK,1.0176377,290.0,323.1,18.06
PADI.JK,1.0175782,72.0,105.0,28.95
MGRO.JK,1.0173784,635.0,693.8,2.09
BUKA.JK,1.0169511,117.0,144.1,17.17
HALO.JK,1.0169178,64.0,73.9,1.29
UNTR.JK,1.0168798,22000.0,28030.1,228.36
KJEN.JK,1.016646,131.0,138.6,14.23
BBNI.JK,1.0164298,3420.0,,342.19
ARKO.JK,1.016371,5100.0,,25.92
BDKR.JK,1.0154339,134.0,,1.5
KRAS.JK,1.0154234,190.0,,1.37
GULA.JK,1.015142,505.0,,24.41
