Ticker,AI_Score,Harga,MA50,Trx_Miliar
COIN.JK,1.1122419,715.0,1103.0,3.72
RCCC.JK,1.1091834,99.0,106.4,1.05
FUTR.JK,1.1069005,134.0,224.7,1.38
PGEO.JK,1.1048911,855.0,970.9,20.76
KAQI.JK,1.1029928,89.0,104.2,2.05
RLCO.JK,1.1012694,2590.0,4802.5,1.95
JGLE.JK,1.1012508,53.0,69.7,39.33
AMMN.JK,1.0958827,3500.0,4522.2,1532.21
CNMA.JK,1.0906547,87.0,99.9,1.47
MSJA.JK,1.0835556,396.0,460.9,3.87
OMED.JK,1.083147,187.0,261.1,4.71
MBMA.JK,1.0813109,432.0,631.7,58.56
BEER.JK,1.0811512,103.0,125.6,5.22
SUPA.JK,1.0787627,825.0,864.0,18.53
AYAM.JK,1.0747727,300.0,325.6,8.62
MEDS.JK,1.0734135,76.0,81.0,8.4
TPIA.JK,1.0718477,1375.0,4515.1,2853.76
BDKR.JK,1.0716913,134.0,154.7,1.2
WIRG.JK,1.0667996,54.0,74.9,4.73
GOLF.JK,1.0663657,133.0,185.0,1.18
PACK.JK,1.0651716,246.0,251.1,67.03
NINE.JK,1.0632434,73.0,123.4,1.39
NSSS.JK,1.0596015,438.0,755.0,1.59
PMUI.JK,1.0563272,67.0,91.3,2.87
IRSX.JK,1.053993,284.0,418.2,21.62
ASPR.JK,1.0496492,157.0,,90.44
HUMI.JK,1.0492444,108.0,,7.49
LCKM.JK,1.0486298,96.0,,5.2
BUVA.JK,1.0431001,660.0,,191.23
BANK.JK,1.0430998,240.0,,7.01
INET.JK,1.0419161,179.0,,37.29
BBCA.JK,1.041854,5425.0,,3183.36
AVIA.JK,1.0413516,316.0,,5.44
FORE.JK,1.0393009,655.0,,10.17
STAA.JK,1.0376773,905.0,,8.89
DSSA.JK,1.0375357,670.0,,978.52
SRSN.JK,1.0352858,59.0,,2.94
DAAZ.JK,1.0333642,1710.0,,2.4
TAPG.JK,1.033178,1460.0,,59.28
BKSL.JK,1.0328302,63.0,,21.3
CITA.JK,1.0321674,2960.0,,1.05
DEWA.JK,1.0321263,286.0,,217.55
UNTR.JK,1.0321088,22000.0,,285.45
SNLK.JK,1.0318258,238.0,,3.17
