Ticker,AI_Score,Harga,MA50,Trx_Miliar
GGRM.JK,17059.955,16625.0,,23.49
BBCA.JK,6968.9717,6300.0,,2417.48
INET.JK,6748.522,210.0,,25.45
AALI.JK,6627.133,6175.0,,18.76
AADI.JK,5889.6157,7875.0,,216.87
INCO.JK,5776.737,5075.0,,92.64
ULTJ.JK,5716.162,1385.0,,3.71
STRK.JK,5093.329,73.0,,12.14
ASII.JK,4835.935,4810.0,,544.96
CPIN.JK,4551.909,3320.0,,76.75
CBDK.JK,4467.0454,3560.0,,18.39
BYAN.JK,4173.342,11000.0,,3.35
BMRI.JK,3996.3398,4310.0,,1291.3
UNTR.JK,3945.8562,22675.0,,189.44
ADES.JK,3912.942,26400.0,,1.51
BBRI.JK,3823.203,2930.0,,1500.25
CMRY.JK,3649.848,4460.0,,9.93
SLIS.JK,3515.1907,65.0,,2.3
BBNI.JK,3385.7778,3670.0,,344.24
EMAS.JK,3323.4277,7325.0,,309.72
INDO.JK,3186.0134,169.0,,8.32
SUPA.JK,3024.4548,610.0,,28.89
MARK.JK,2892.057,925.0,,31.0
BSSR.JK,2760.039,4450.0,,11.23
NETV.JK,2751.0908,54.0,,1.07
MDIY.JK,2430.3044,845.0,,1.61
BDMN.JK,2335.856,4140.0,,11.11
MIDI.JK,2311.6697,284.0,,2.45
MEDS.JK,2250.1973,74.0,,2.97
ABMM.JK,2101.702,2450.0,,1.49
ADRO.JK,2089.7327,2220.0,,138.53
AMMN.JK,1962.9454,3820.0,,716.82
BTPS.JK,1887.089,1000.0,,4.9
EXCL.JK,1877.9971,2580.0,,25.32
ARTO.JK,1876.005,970.0,,7.77
BINA.JK,1862.2611,3600.0,,1.21
SGER.JK,1653.6041,386.0,,4.5
GHON.JK,1634.326,1700.0,,1.39
AMRT.JK,1587.5208,1350.0,,236.26
MDIA.JK,1533.21,71.0,,14.59
MAPA.JK,1499.1942,595.0,,7.39
MSKY.JK,1378.0023,65.0,,2.14
AUTO.JK,1370.3373,2460.0,,3.46
MUTU.JK,1341.2286,116.0,,1.35
CBUT.JK,1231.5933,745.0,,1.01
BIRD.JK,1192.1453,1675.0,,5.58
SRSN.JK,1190.7034,71.0,,4.28
ANTM.JK,1183.9272,3080.0,,636.57
SSIA.JK,1150.1113,1600.0,,34.28
DAAZ.JK,1138.4023,1990.0,,2.03
BNGA.JK,1115.0822,1610.0,,8.66
NAYZ.JK,1113.3107,67.0,,1.2
AKRA.JK,1081.0933,1225.0,,27.79
SIDO.JK,1074.3822,374.0,,11.09
PSAB.JK,1068.2661,440.0,,95.08
RSCH.JK,1066.7548,328.0,,6.67
BREN.JK,1025.9652,3730.0,,190.48
BJBR.JK,1024.9779,770.0,,2.7
KOKA.JK,977.8484,105.0,,1.15
BBTN.JK,976.48145,1225.0,,24.47
BNLI.JK,975.67065,2700.0,,1.03
MLPL.JK,974.11786,82.0,,1.18
SINI.JK,969.88806,10375.0,,7.23
APIC.JK,924.78595,610.0,,1.26
PGAS.JK,911.15607,1540.0,,49.47
CMNT.JK,899.12305,765.0,,17.54
MBMA.JK,898.56067,540.0,,130.54
JTPE.JK,885.6716,605.0,,1.43
BRIS.JK,872.3797,1835.0,,30.87
LSIP.JK,866.54126,1310.0,,13.3
BRPT.JK,852.8272,1700.0,,454.08
ASGR.JK,849.2542,1535.0,,1.13
TSPC.JK,802.83936,2510.0,,2.41
HRTA.JK,764.5723,2120.0,,28.59
MPIX.JK,737.69696,101.0,,1.48
ACES.JK,726.9293,366.0,,15.24
CTRA.JK,719.9313,550.0,,22.82
BSDE.JK,714.78564,555.0,,17.29
DRMA.JK,706.60114,935.0,,3.39
FILM.JK,695.83575,1690.0,,3.89
JSMR.JK,695.131,2570.0,,20.38
BFIN.JK,687.6255,680.0,,8.94
TBLA.JK,676.729,665.0,,2.21
GJTL.JK,666.1984,1200.0,,7.16
MTDL.JK,642.5499,505.0,,1.73
BANK.JK,633.10504,284.0,,1.75
TBIG.JK,630.8491,1350.0,,8.39
SIMP.JK,621.2273,550.0,,7.61
DSNG.JK,614.8174,1140.0,,12.25
EMTK.JK,614.05414,550.0,,42.96
ADMR.JK,611.4295,1515.0,,70.19
RALS.JK,597.67004,378.0,,2.18
RLCO.JK,583.174,3760.0,,9.94
AVIA.JK,582.7408,310.0,,8.51
NICL.JK,568.9533,590.0,,18.34
BJTM.JK,563.2387,510.0,,4.81
TKIM.JK,555.53815,5975.0,,59.5
ARKO.JK,554.7365,6450.0,,17.65
BNBA.JK,553.3352,785.0,,1.79
JPFA.JK,548.0971,1930.0,,49.56
KRYA.JK,547.03156,60.0,,3.5
MSTI.JK,539.8279,1215.0,,1.44
RMKO.JK,536.5177,314.0,,1.76
DEFI.JK,535.9746,121.0,,28.66
SOFA.JK,532.55585,228.0,,1.3
WIFI.JK,529.32697,1705.0,,43.33
MOLI.JK,528.29236,262.0,,1.34
SMSM.JK,521.8862,1640.0,,3.34
ESSA.JK,517.7412,640.0,,140.86
TRON.JK,515.47894,98.0,,2.95
PADI.JK,483.7707,72.0,,13.32
NISP.JK,483.74585,1280.0,,5.88
RMKE.JK,483.06604,2230.0,,27.28
OMED.JK,462.2566,210.0,,6.34
SRTG.JK,457.06683,1515.0,,5.1
PIPA.JK,455.92804,121.0,,13.43
ASSA.JK,452.17444,640.0,,3.99
PWON.JK,448.66443,254.0,,32.03
PART.JK,444.16656,110.0,,1.13
KEEN.JK,441.3532,865.0,,6.86
ERAA.JK,434.20514,374.0,,5.11
TUGU.JK,129.39188,1125.0,,2.16
GPSO.JK,129.01491,436.0,,15.97
RGAS.JK,128.79895,165.0,,5.29
TOWR.JK,127.17432,372.0,,72.79
ASLI.JK,126.61992,238.0,,1.19
PGEO.JK,126.04759,895.0,,20.49
DILD.JK,124.73859,116.0,,1.12
JATI.JK,123.17554,99.0,,8.65
BOAT.JK,120.79782,118.0,,1.27
INDF.JK,119.84193,6725.0,,100.09
MPMX.JK,119.45945,955.0,,3.79
TOBA.JK,118.288155,414.0,,3.12
WEHA.JK,117.74103,103.0,,3.82
KOTA.JK,116.59825,100.0,,45.85
LCKM.JK,116.243675,122.0,,7.35
HMSP.JK,115.615524,645.0,,17.58
HRUM.JK,115.00685,825.0,,12.72
VTNY.JK,115.00556,61.0,,1.12
PACK.JK,113.023186,258.0,,25.42
KAQI.JK,112.68606,92.0,,6.32
CTTH.JK,112.61638,141.0,,3.95
MIKA.JK,111.688736,1600.0,,39.54
MEDC.JK,110.25715,1145.0,,111.88
GIAA.JK,110.240265,58.0,,2.44
DEWA.JK,107.360214,368.0,,443.18
BCIC.JK,107.225,145.0,,4.0
KOCI.JK,106.13645,90.0,,3.64
RATU.JK,105.59161,4780.0,,23.05
GSMF.JK,105.451385,81.0,,1.66
BEEF.JK,103.52522,156.0,,3.19
ASHA.JK,101.36502,57.0,,1.37
RBMS.JK,101.10205,58.0,,5.28
BWPT.JK,100.54919,80.0,,6.04
INTP.JK,99.961945,4020.0,,10.57
ESIP.JK,98.267555,134.0,,45.7
BAJA.JK,96.748856,165.0,,1.85
CHEK.JK,94.50718,131.0,,4.38
DPUM.JK,94.34091,105.0,,2.97
LPPF.JK,93.45191,1520.0,,6.33
PADA.JK,92.977295,116.0,,2.84
KLBF.JK,91.65541,700.0,,114.18
BUMI.JK,85.80956,168.0,,977.04
PANS.JK,84.680954,1830.0,,1.22
TLKM.JK,83.24237,2580.0,,631.67
MGLV.JK,82.17499,8800.0,,3.94
BUVA.JK,80.726585,870.0,,229.67
SMDR.JK,80.42453,294.0,,2.43
OILS.JK,77.61775,189.0,,1.25
GMFI.JK,77.273766,52.0,,2.06
PKPK.JK,76.94363,2630.0,,2.53
PNBN.JK,75.49358,920.0,,2.33
KRAS.JK,74.45308,204.0,,1.77
NIKL.JK,72.817726,204.0,,3.26
YELO.JK,71.83481,73.0,,2.81
BSBK.JK,70.08104,52.0,,1.95
WIRG.JK,68.42112,57.0,,1.61
GRIA.JK,67.74976,111.0,,3.62
KJEN.JK,67.7118,117.0,,1.11
MAIN.JK,65.81198,705.0,,1.04
FUTR.JK,65.480415,161.0,,3.1
BKSL.JK,63.061752,68.0,,11.14
LAJU.JK,62.53342,62.0,,3.26
IATA.JK,61.990204,70.0,,4.25
PAMG.JK,61.73963,53.0,,2.74
MYOR.JK,61.010895,1990.0,,18.96
MAPI.JK,59.180664,1510.0,,162.36
SOCI.JK,56.9597,338.0,,4.27
TEBE.JK,56.927494,1065.0,,1.41
IRSX.JK,55.48693,288.0,,16.53
JARR.JK,55.22334,2030.0,,10.33
LAND.JK,54.39415,55.0,,1.51
NSSS.JK,53.68615,585.0,,9.18
SRAJ.JK,53.473232,11000.0,,4.18
EPAC.JK,50.795776,68.0,,16.85
CUAN.JK,49.459038,680.0,,413.45
VISI.JK,49.104794,1050.0,,2.28
TAMA.JK,47.25173,167.0,,1.88
SMRA.JK,46.79602,294.0,,11.12
PTBA.JK,35.44213,2530.0,,69.04
BNBR.JK,28.886314,110.0,,172.15
TPMA.JK,25.951775,434.0,,2.67
TOOL.JK,25.224762,61.0,,4.33
GZCO.JK,20.320341,153.0,,1.35
KETR.JK,19.709396,560.0,,22.63
TRIN.JK,16.763988,392.0,,3.12
TAPG.JK,15.03278,1525.0,,26.41
MTEL.JK,-38.16213,500.0,,18.4
LAPD.JK,-39.2248,63.0,,1.02
LUCY.JK,-54.767975,1505.0,,1.53
NTBK.JK,-56.991695,60.0,,1.55
