Ticker,AI_Score,Harga,MA50,Trx_Miliar
MPIX.JK,1.079988,101.0,,1.48
TBIG.JK,1.0748528,1350.0,,8.39
CUAN.JK,1.0740793,680.0,,413.45
KUAS.JK,1.0683368,91.0,,2.35
BEEF.JK,1.0610396,156.0,,3.19
BTPS.JK,1.058111,1000.0,,4.9
GULA.JK,1.0570642,580.0,,31.22
DGWG.JK,1.053741,302.0,,3.87
ACES.JK,1.0522003,366.0,,15.24
MSTI.JK,1.0520406,1215.0,,1.44
BAIK.JK,1.04754,710.0,,24.78
RMKE.JK,1.0474211,2230.0,,27.28
GRIA.JK,1.0467217,111.0,,3.62
PTMP.JK,1.0464503,57.0,,1.13
PWON.JK,1.0448257,254.0,,32.03
PADA.JK,1.0444696,116.0,,2.84
KOCI.JK,1.0443156,90.0,,3.64
SDMU.JK,1.043932,94.0,,8.22
ESIP.JK,1.0438108,134.0,,45.7
NZIA.JK,1.0431585,163.0,,29.29
BUKA.JK,1.0428963,107.0,,71.57
MBSS.JK,1.0423381,2620.0,,6.05
WBSA.JK,1.0422506,735.0,,21.01
RGAS.JK,1.0421926,165.0,,5.29
UVCR.JK,1.0421641,185.0,,28.98
BDMN.JK,1.0420065,4140.0,,11.11
GJTL.JK,1.0418051,1200.0,,7.16
SSIA.JK,1.041681,1600.0,,34.28
BMTR.JK,1.041551,118.0,,4.02
LCKM.JK,1.0402129,122.0,,7.35
NIKL.JK,1.0391394,204.0,,3.26
MGRO.JK,1.0381676,680.0,,2.99
PURI.JK,1.0376153,140.0,,1.14
SCMA.JK,1.0375546,200.0,,9.83
CDIA.JK,1.0363543,695.0,,38.31
RALS.JK,1.0362881,378.0,,2.18
LAJU.JK,1.0359964,62.0,,3.26
AGRO.JK,1.0357014,155.0,,1.21
ATAP.JK,1.0347928,494.0,,2.94
MYOR.JK,1.0344974,1990.0,,18.96
SMSM.JK,1.034272,1640.0,,3.34
BNBR.JK,1.0340592,110.0,,172.15
ENRG.JK,1.0337989,1395.0,,89.27
EMTK.JK,1.0333228,550.0,,42.96
DPUM.JK,1.0331348,105.0,,2.97
CMNT.JK,1.0319847,765.0,,17.54
EXCL.JK,1.0311977,2580.0,,25.32
WIFI.JK,1.0309266,1705.0,,43.33
LAND.JK,1.0305285,55.0,,1.51
SRAJ.JK,1.0302296,11000.0,,4.18
TOTL.JK,1.0300416,1090.0,,4.03
CTRA.JK,1.0296274,550.0,,22.82
PKPK.JK,1.0296186,2630.0,,2.53
NEST.JK,1.0292511,575.0,,5.21
PTRO.JK,1.0291587,4260.0,,246.32
TOOL.JK,1.0288242,61.0,,4.33
MOLI.JK,1.0287471,262.0,,1.34
PADI.JK,1.0285325,72.0,,13.32
PRDA.JK,1.0277672,2550.0,,1.82
TUGU.JK,1.0276293,1125.0,,2.16
BSDE.JK,1.0268261,555.0,,17.29
BRPT.JK,1.0266907,1700.0,,454.08
DEFI.JK,1.0266082,121.0,,28.66
RATU.JK,1.026358,4780.0,,23.05
WIIM.JK,1.026176,1680.0,,2.52
BCIC.JK,1.0261701,145.0,,4.0
ASGR.JK,1.0261152,1535.0,,1.13
BANK.JK,1.0255768,284.0,,1.75
BJTM.JK,1.0253792,510.0,,4.81
ISSP.JK,1.0253472,394.0,,1.1
PSAB.JK,1.0241032,440.0,,95.08
NETV.JK,1.0235333,54.0,,1.07
LUCY.JK,1.0234872,1505.0,,1.53
IPCC.JK,1.023414,1250.0,,1.38
LEAD.JK,1.0231514,92.0,,1.47
MTEL.JK,1.0230213,500.0,,18.4
KJEN.JK,1.0223924,117.0,,1.11
HMSP.JK,1.0219282,645.0,,17.58
AADI.JK,1.020836,7875.0,,216.87
TAMA.JK,1.020796,167.0,,1.88
VISI.JK,1.0206559,1050.0,,2.28
SINI.JK,1.0206357,10375.0,,7.23
JSMR.JK,1.0205922,2570.0,,20.38
PSKT.JK,1.020306,196.0,,2.25
VKTR.JK,1.0193205,660.0,,27.13
BSML.JK,1.0184964,460.0,,9.08
NTBK.JK,1.0181975,60.0,,1.55
BINA.JK,1.0179783,3600.0,,1.21
MPMX.JK,1.0177201,955.0,,3.79
ARKO.JK,1.0169015,6450.0,,17.65
NPGF.JK,1.0168254,62.0,,1.17
ADRO.JK,1.0164664,2220.0,,138.53
ASHA.JK,0.99003667,57.0,,1.37
BRMS.JK,0.9899692,660.0,,485.13
JAST.JK,0.98978245,85.0,,2.74
ASSA.JK,0.98972636,640.0,,3.99
HRUM.JK,0.9893926,825.0,,12.72
BMRI.JK,0.9893612,4310.0,,1291.3
GHON.JK,0.9890842,1700.0,,1.39
TKIM.JK,0.98863053,5975.0,,59.5
CFIN.JK,0.98854524,366.0,,3.48
BBYB.JK,0.9879644,226.0,,4.9
IMPC.JK,0.9879227,1690.0,,38.6
ICBP.JK,0.9872792,6700.0,,54.31
ITMG.JK,0.9871632,22225.0,,65.28
OASA.JK,0.98685443,240.0,,13.18
