Ticker,AI_Score,Harga,MA50,Trx_Miliar
LCKM.JK,1.07288,94.0,,3.29
PACK.JK,1.0499092,226.0,,83.03
AYAM.JK,1.0441455,328.0,,12.24
WIRG.JK,1.0439577,52.0,,6.89
MEDS.JK,1.0402712,71.0,,8.31
BSML.JK,1.0394998,386.0,,6.52
DEFI.JK,1.036539,97.0,,6.55
VISI.JK,1.0363506,1095.0,,7.82
JGLE.JK,1.0341915,53.0,,20.14
AUTO.JK,1.034186,2350.0,,10.63
ASPR.JK,1.0318928,175.0,,65.62
CBRE.JK,1.0314384,675.0,,18.8
KAEF.JK,1.0313498,414.0,,1.05
BLUE.JK,1.0312055,3040.0,,1.51
NIKL.JK,1.0303674,189.0,,6.16
MORA.JK,1.0302272,5925.0,,2.24
KAQI.JK,1.0289665,84.0,,2.49
OASA.JK,1.0284578,240.0,,16.55
KEEN.JK,1.0280435,755.0,,8.87
UVCR.JK,1.027969,133.0,,17.11
GOLF.JK,1.0278671,149.0,,1.19
KJEN.JK,1.0271637,107.0,,2.44
CYBR.JK,1.0267607,540.0,,12.78
MTEL.JK,1.0264826,500.0,,9.64
TAMA.JK,1.0263593,145.0,,2.2
MARK.JK,1.0255083,765.0,,16.1
SLIS.JK,1.025071,54.0,,1.09
SMIL.JK,1.0248905,242.0,,3.45
MOLI.JK,1.0248147,216.0,,1.14
SNLK.JK,1.0242752,224.0,,2.92
ADES.JK,1.0239891,21825.0,,1.78
PYFA.JK,1.0239273,191.0,,4.96
BNBR.JK,1.023547,97.0,,106.04
ENZO.JK,1.0227054,57.0,,1.26
LABS.JK,1.0225923,137.0,,1.26
SUPA.JK,1.0224286,650.0,,87.3
WIFI.JK,1.0223266,1530.0,,123.52
LPPF.JK,1.0217378,1500.0,,4.01
DOOH.JK,1.0216594,113.0,,5.08
BSSR.JK,1.0215844,3940.0,,2.1
MLPL.JK,1.0210617,75.0,,2.49
SSIA.JK,1.0208522,1555.0,,39.18
EMTK.JK,1.0208392,535.0,,32.66
ASHA.JK,1.0206072,56.0,,2.72
ULTJ.JK,1.0206016,1285.0,,7.7
BMRI.JK,1.0202285,4090.0,,1423.76
KIOS.JK,1.0202216,67.0,,1.03
EXCL.JK,1.0199198,2510.0,,34.1
INET.JK,1.0197961,183.0,,41.16
BNGA.JK,1.019557,1520.0,,13.15
PANI.JK,1.0193157,6150.0,,49.31
AMRT.JK,1.0190171,1365.0,,150.06
ISAT.JK,1.0183345,1745.0,,40.23
MPOW.JK,1.0182858,93.0,,3.95
MSKY.JK,1.018256,61.0,,4.49
ICON.JK,1.0182316,105.0,,5.05
MTDL.JK,1.0181332,492.0,,1.13
SRSN.JK,1.0179514,59.0,,2.76
ROTI.JK,1.0171947,555.0,,1.86
SMLE.JK,1.0168027,85.0,,1.79
LPKR.JK,1.0165005,64.0,,3.73
BBNI.JK,1.0162777,3270.0,,380.52
CDIA.JK,1.0159343,695.0,,70.31
LAJU.JK,1.0157353,55.0,,1.02
DILD.JK,1.0156538,114.0,,2.53
DRMA.JK,1.0152688,920.0,,1.65
INTP.JK,1.0149033,4000.0,,22.28
AKRA.JK,1.0147383,1230.0,,39.78
JMAS.JK,1.0143968,252.0,,1.58
BRPT.JK,1.0140964,1660.0,,600.09
