Ticker,AI_Score,Harga,MA50,Trx_Miliar
ALII.JK,1.0960699,815.0,,5.69
DMAS.JK,1.0668325,156.0,,19.32
LCKM.JK,1.0640926,104.0,,4.4
MBSS.JK,1.0531473,2280.0,,5.81
BAIK.JK,1.0479485,520.0,,1.73
ADRO.JK,1.0467019,2180.0,,138.82
HBAT.JK,1.0428212,460.0,,1.27
TAPG.JK,1.0417656,1490.0,,50.87
DEWI.JK,1.038611,116.0,,5.66
TUGU.JK,1.038117,1090.0,,2.36
DFAM.JK,1.0377492,107.0,,2.87
EMAS.JK,1.034742,6950.0,,142.92
KRYA.JK,1.034315,54.0,,1.48
AHAP.JK,1.0335767,79.0,,1.16
TOTL.JK,1.0334638,1050.0,,2.43
RMKE.JK,1.0330385,2540.0,,49.81
GJTL.JK,1.0327613,1175.0,,6.67
TBLA.JK,1.0315794,600.0,,1.56
WIFI.JK,1.031002,1945.0,,43.3
JARR.JK,1.030995,1450.0,,1.3
KOTA.JK,1.0306859,95.0,,19.34
DKFT.JK,1.029872,630.0,,4.01
MGLV.JK,1.0291276,8100.0,,2.22
PIPA.JK,1.0287002,117.0,,1.88
AKRA.JK,1.0281115,1205.0,,54.23
ICON.JK,1.0280741,114.0,,2.44
LPKR.JK,1.0278918,62.0,,2.76
BNGA.JK,1.0272937,1590.0,,5.15
TCPI.JK,1.0269978,9900.0,,36.08
MAPI.JK,1.0265094,1495.0,,91.77
SSIA.JK,1.0264791,1625.0,,25.7
TINS.JK,1.0264387,2850.0,,161.09
CBDK.JK,1.026314,3580.0,,10.09
BRIS.JK,1.0256685,1885.0,,31.98
POWR.JK,1.0254902,695.0,,3.68
APLN.JK,1.0254701,131.0,,2.55
MINA.JK,1.0251962,300.0,,100.89
GULA.JK,1.0251819,510.0,,18.55
SMSM.JK,1.0248228,1690.0,,2.32
BBTN.JK,1.0246232,1210.0,,16.72
PPGL.JK,1.0237827,204.0,,3.05
ANTM.JK,1.023584,2610.0,,727.82
SNLK.JK,1.023123,234.0,,2.22
ASGR.JK,1.0228394,1395.0,,1.44
PANI.JK,1.0227567,6775.0,,36.22
PGAS.JK,1.0226984,1780.0,,67.17
MSTI.JK,1.0224446,1345.0,,1.99
CYBR.JK,1.0219642,585.0,,10.43
CBRE.JK,1.0217763,750.0,,14.94
DEFI.JK,1.0212837,110.0,,3.65
ESIP.JK,1.021209,111.0,,3.24
WIIM.JK,1.0211854,1575.0,,5.65
PNBN.JK,1.0200607,905.0,,4.38
KJEN.JK,1.0200028,154.0,,17.3
MARK.JK,1.0198734,795.0,,11.08
AUTO.JK,1.0193394,2500.0,,10.76
ASHA.JK,1.0191349,55.0,,1.53
BJBR.JK,1.0190737,760.0,,2.43
RATU.JK,1.0186496,4700.0,,51.99
TSPC.JK,1.0185724,2420.0,,2.16
ESSA.JK,1.0185684,605.0,,46.61
PTBA.JK,1.0183525,2620.0,,50.68
BSML.JK,1.0178775,404.0,,4.66
PYFA.JK,1.0176361,206.0,,3.16
PRDA.JK,1.0175898,2620.0,,2.57
MEDC.JK,1.0172309,1275.0,,90.59
GRIA.JK,1.0170928,138.0,,1.2
PADA.JK,1.0170447,119.0,,1.38
TOOL.JK,1.0165448,62.0,,1.73
ITMG.JK,1.0161574,22075.0,,66.8
RCCC.JK,1.0161438,101.0,,1.18
ELPI.JK,1.016137,1330.0,,3.18
LSIP.JK,1.0155782,1235.0,,18.24
ASRI.JK,1.0153604,109.0,,1.1
KEEN.JK,1.0152501,820.0,,5.15
UVCR.JK,1.0152432,226.0,,18.54
VISI.JK,1.0151986,1030.0,,7.45
RALS.JK,1.0148646,374.0,,3.42
BSDE.JK,1.0148145,605.0,,23.26
FORE.JK,1.0141884,685.0,,8.77
BULL.JK,1.0141717,324.0,,69.35
ADES.JK,1.0140076,21950.0,,1.26
NIKL.JK,1.0137378,220.0,,1.06
ISAT.JK,1.0136002,2080.0,,41.76
EMTK.JK,1.0135932,565.0,,26.56
BNBR.JK,1.013507,109.0,,83.83
EXCL.JK,1.0132753,2830.0,,24.59
KETR.JK,1.0126817,565.0,,34.49
KAQI.JK,1.0125163,93.0,,2.08
TAMA.JK,1.0123804,166.0,,1.9
DKHH.JK,1.0121617,57.0,,1.09
HRUM.JK,1.0121582,745.0,,4.98
IPCC.JK,1.0121354,1160.0,,1.09
PSAB.JK,1.0120945,505.0,,51.03
MTDL.JK,1.011954,525.0,,1.98
UNTR.JK,1.0119044,22000.0,,252.23
DSNG.JK,1.0117141,1195.0,,18.17
RBMS.JK,1.0116985,56.0,,10.72
INDF.JK,1.0115939,6250.0,,98.07
IRSX.JK,1.0115489,332.0,,18.94
ARTO.JK,1.0113659,1090.0,,4.25
ENRG.JK,1.0113283,1350.0,,68.46
BANK.JK,1.0112176,240.0,,6.5
MEDS.JK,1.0111594,85.0,,9.36
NINE.JK,0.9936319,81.0,,1.57
BWPT.JK,0.99336493,75.0,,3.39
PSKT.JK,0.9933649,197.0,,4.27
PWON.JK,0.9932999,282.0,,17.19
SCMA.JK,0.99300635,216.0,,6.6
NSSS.JK,0.9925026,432.0,,1.41
AALI.JK,0.9921068,6650.0,,38.21
SMRA.JK,0.99201137,280.0,,3.48
FUJI.JK,0.99190927,280.0,,1.92
BUKA.JK,0.9918108,118.0,,13.83
MLBI.JK,0.99179417,5900.0,,1.5
JTPE.JK,0.9912449,605.0,,1.2
CTRA.JK,0.9910283,600.0,,9.25
GTSI.JK,0.9908801,123.0,,4.23
MIDI.JK,0.99003696,288.0,,20.53
COIN.JK,0.9900041,760.0,,3.5
INCO.JK,0.9899884,4320.0,,145.45
SRAJ.JK,0.9896389,12000.0,,1.89
ASII.JK,0.988952,4840.0,,916.06
BTPS.JK,0.98890096,900.0,,4.93
INDY.JK,0.9887689,1945.0,,43.43
LPPF.JK,0.9886357,1565.0,,3.12
RMKO.JK,0.9885677,310.0,,1.51
MGRO.JK,0.9883788,655.0,,1.92
PACK.JK,0.98831975,272.0,,61.75
NRCA.JK,0.9873591,480.0,,2.71
BUVA.JK,0.98723465,725.0,,157.01
SOFA.JK,0.98707294,324.0,,2.49
BREN.JK,0.9864885,4160.0,,995.03
DGWG.JK,0.9858577,316.0,,2.92
IATA.JK,0.9857364,64.0,,5.21
ARNA.JK,0.98567075,418.0,,2.33
MIKA.JK,0.98566264,1615.0,,47.73
DRMA.JK,0.9855702,980.0,,2.21
FIRE.JK,0.9852207,103.0,,1.14
TOBA.JK,0.9851922,396.0,,3.39
ZATA.JK,0.9847217,54.0,,5.8
DILD.JK,0.98465085,115.0,,1.32
KIJA.JK,0.984352,119.0,,6.4
ICBP.JK,0.9840453,6525.0,,41.61
NEST.JK,0.98392665,490.0,,1.27
FILM.JK,0.98377204,1975.0,,10.59
HEAL.JK,0.98359895,815.0,,21.28
HMSP.JK,0.98282933,665.0,,15.34
TBIG.JK,0.9825087,1365.0,,1.76
TRUE.JK,0.98158926,73.0,,4.51
YELO.JK,0.9815409,77.0,,3.6
VKTR.JK,0.98086965,660.0,,26.18
SSMS.JK,0.98071104,775.0,,22.78
TLKM.JK,0.9805081,2850.0,,931.35
MAPA.JK,0.97987694,600.0,,19.65
RISE.JK,0.9797963,995.0,,1.04
TOWR.JK,0.9797265,350.0,,28.39
ERAL.JK,0.9794938,276.0,,1.53
NZIA.JK,0.9794362,194.0,,15.38
ASPR.JK,0.97888446,184.0,,85.74
MSIN.JK,0.9784409,458.0,,41.31
BEEF.JK,0.9762693,162.0,,1.74
LABS.JK,0.9760937,149.0,,1.25
TPMA.JK,0.97552,400.0,,5.5
MYOR.JK,0.9754627,1750.0,,11.24
NETV.JK,0.9746695,56.0,,1.69
HALO.JK,0.97417605,68.0,,1.1
OMED.JK,0.9739516,200.0,,5.23
BEER.JK,0.97382975,121.0,,5.04
CNMA.JK,0.9733527,89.0,,1.53
PTRO.JK,0.9726798,4110.0,,598.64
AADI.JK,0.9718087,8000.0,,120.33
KLBF.JK,0.97138405,730.0,,58.44
RSCH.JK,0.97106034,272.0,,3.77
MSJA.JK,0.97086406,404.0,,4.17
INTP.JK,0.969618,4950.0,,24.51
JSMR.JK,0.96919453,2930.0,,13.32
SMGR.JK,0.9675131,1720.0,2144.3,19.31
AMMN.JK,0.96659446,3310.0,4542.4,1346.67
CMNT.JK,0.9659752,800.0,788.4,8.94
PMUI.JK,0.9654964,78.0,91.7,2.49
MORA.JK,0.9608111,6375.0,5626.4,2.16
CUAN.JK,0.95947194,725.0,,651.4
HUMI.JK,0.9588689,120.0,,5.24
WIRG.JK,0.95689374,55.0,,3.19
MTEL.JK,0.95501804,505.0,,9.32
RLCO.JK,0.9549803,2430.0,,2.13
SMIL.JK,0.95476407,260.0,,1.97
WBSA.JK,0.9544983,665.0,,20.15
FUTR.JK,0.9542711,148.0,,1.3
