Ticker,AI_Score,Harga,MA50,Trx_Miliar
MBMA.JK,1.1112909,440.0,620.6,77.33
PACK.JK,1.0855297,206.0,252.5,89.85
MEDS.JK,1.0824182,67.0,81.5,8.8
ASPR.JK,1.0678082,167.0,273.5,102.25
CUAN.JK,1.0574255,640.0,1049.7,579.64
AYAM.JK,1.0507646,300.0,325.1,10.89
RCCC.JK,1.0506574,81.0,105.6,1.0
RMKO.JK,1.0500352,240.0,454.3,1.69
BUVA.JK,1.0486007,550.0,998.2,145.41
CHEM.JK,1.0462562,53.0,87.4,1.38
ARKO.JK,1.045568,3710.0,7652.0,22.43
DEWA.JK,1.0438224,250.0,451.9,207.86
LAPD.JK,1.0432192,54.0,78.2,1.95
BRPT.JK,1.0408753,1385.0,1857.7,821.76
BDKR.JK,1.0398734,126.0,153.9,1.61
BANK.JK,1.0387205,240.0,461.1,2.33
COIN.JK,1.038485,590.0,1081.3,3.81
AALI.JK,1.037701,5900.0,7431.2,23.96
SUPA.JK,1.0368255,600.0,854.9,25.49
MDIY.JK,1.0364573,825.0,857.5,1.07
DFAM.JK,1.036447,95.0,107.2,3.0
MSTI.JK,1.0364339,1155.0,1277.7,2.88
MDKA.JK,1.0350816,2420.0,3000.8,374.31
MDIA.JK,1.0338552,60.0,,9.91
ROTI.JK,1.0338167,545.0,,1.86
CDIA.JK,1.0332434,590.0,,85.99
LABS.JK,1.0330924,132.0,,1.26
LCKM.JK,1.0330207,91.0,,4.74
TAPG.JK,1.0321933,1260.0,,42.99
FUTR.JK,1.0319742,105.0,,2.19
BEEF.JK,1.0317552,132.0,,1.82
SIMP.JK,1.0317019,474.0,,12.45
BIPI.JK,1.0311747,128.0,,162.53
NZIA.JK,1.0293285,196.0,,40.72
BNBR.JK,1.0284283,85.0,,108.2
NSSS.JK,1.0280027,378.0,,1.97
INCO.JK,1.0278574,4240.0,,139.21
KLBF.JK,1.027601,665.0,,49.41
KAQI.JK,1.0273389,79.0,,2.66
BKSL.JK,1.0272913,55.0,,22.41
INTP.JK,1.0268465,4000.0,,22.08
FUJI.JK,1.0267682,254.0,,4.9
GULA.JK,1.0262061,498.0,,19.79
SNLK.JK,1.025937,222.0,,2.8
CPIN.JK,1.0255954,3150.0,,61.97
SIDO.JK,1.0255159,354.0,,13.45
BMRI.JK,1.0252414,3710.0,,1245.5
SMRA.JK,1.0240397,258.0,,6.1
JATI.JK,1.0239954,87.0,,1.22
HATM.JK,1.023345,294.0,,10.53
TLKM.JK,1.0231144,2350.0,,567.2
KOTA.JK,1.0227146,76.0,,19.46
BBRI.JK,1.0223625,2590.0,,1205.92
UNVR.JK,1.0222808,1575.0,,37.91
ANTM.JK,1.0210967,2530.0,,813.37
INDY.JK,1.0210234,1950.0,,62.59
BBCA.JK,1.0206622,4850.0,,2655.83
MORA.JK,1.0206407,5300.0,,2.79
SMGR.JK,1.020287,1485.0,2088.9,21.02
COCO.JK,1.0198193,158.0,323.5,5.15
ICON.JK,1.0194938,121.0,117.6,4.36
ARCI.JK,1.0194786,945.0,1386.6,53.82
TRUE.JK,1.0192649,60.0,140.1,12.67
MSKY.JK,1.0192336,57.0,78.6,4.44
NETV.JK,1.0192322,51.0,82.6,1.96
MAIN.JK,1.0191028,620.0,841.7,2.06
PRDA.JK,1.0188062,2320.0,2450.0,4.77
BTPS.JK,1.018685,860.0,993.7,8.1
ASII.JK,1.0180314,4360.0,5684.9,533.18
STAA.JK,1.0173647,875.0,1099.9,7.55
GOLF.JK,1.0172232,138.0,183.4,1.26
MSJA.JK,1.0166333,392.0,460.5,4.87
KIJA.JK,1.0162547,111.0,166.0,8.17
PYFA.JK,1.0161527,171.0,303.3,4.79
NCKL.JK,1.0161493,780.0,1030.1,48.68
LPKR.JK,1.0160129,59.0,78.6,4.24
ESIP.JK,1.0158794,92.0,122.7,3.2
ESTI.JK,1.0157562,105.0,160.5,2.25
MOLI.JK,1.0157173,208.0,251.3,1.34
TINS.JK,1.0156366,2910.0,3520.2,243.5
DOOH.JK,1.0155939,98.0,148.0,4.06
IRSX.JK,1.0154772,242.0,410.6,24.87
SSMS.JK,1.0154694,670.0,1149.2,11.54
PTRO.JK,1.0153105,3460.0,4941.3,407.75
AVIA.JK,1.0152851,288.0,361.4,4.48
VISI.JK,1.0150218,1000.0,753.7,8.04
UNTR.JK,1.0144633,20875.0,,140.37
PADI.JK,1.014336,62.0,,19.39
MEDC.JK,1.0143313,1170.0,,93.3
DMAS.JK,1.0135269,142.0,,24.87
BMTR.JK,1.0134914,102.0,,9.07
BULL.JK,1.0134726,272.0,,93.77
GTSI.JK,1.0132054,101.0,,5.93
PWON.JK,1.0129986,244.0,,22.47
KUAS.JK,1.0129818,78.0,,16.09
LPPF.JK,1.012854,1460.0,,3.97
MIKA.JK,1.012813,1435.0,,16.8
NTBK.JK,1.0124967,51.0,80.1,2.36
ARNA.JK,1.0123886,408.0,475.2,2.82
PMUI.JK,1.0123225,60.0,90.3,2.51
UVCR.JK,1.0121604,144.0,186.7,18.67
MIDI.JK,1.012071,278.0,316.5,10.2
RSCH.JK,1.0117869,272.0,291.9,6.75
PNBN.JK,1.0115703,830.0,974.6,8.1
TKIM.JK,1.0113844,4550.0,7881.1,42.08
DKFT.JK,1.0109656,545.0,,7.52
PPRE.JK,1.0106523,70.0,,2.44
DAAZ.JK,1.0102445,1600.0,,2.38
CBDK.JK,1.0100603,3140.0,,13.9
RLCO.JK,1.0100505,2430.0,,2.03
BSDE.JK,1.0100389,540.0,,13.1
PNIN.JK,1.0097493,650.0,,1.8
TOBA.JK,1.0095543,314.0,,4.84
CTRA.JK,1.0095105,530.0,,10.95
ALII.JK,1.0094975,720.0,,5.38
ASGR.JK,1.0090833,1330.0,,1.49
FORE.JK,1.0090337,620.0,,8.0
CYBR.JK,1.0089357,535.0,,12.45
DEFI.JK,1.0088549,92.0,,6.28
HEAL.JK,1.0085087,770.0,,11.5
MGLV.JK,1.0076149,8050.0,,2.89
ELSA.JK,1.0075343,555.0,,14.62
AHAP.JK,1.0075305,58.0,,1.37
NOBU.JK,1.0071844,418.0,,1.36
CSMI.JK,1.0068403,68.0,,1.1
TCPI.JK,0.9898221,9000.0,,40.81
KRYA.JK,0.98956364,51.0,,2.07
ASSA.JK,0.98954386,520.0,,7.45
HRUM.JK,0.98940414,640.0,,7.96
ASHA.JK,0.9892861,51.0,,2.37
AGRO.JK,0.9891002,124.0,,1.47
BEER.JK,0.9889012,83.0,,5.86
MPOW.JK,0.98888594,92.0,,3.96
BBKP.JK,0.9888599,51.0,,7.96
WGSH.JK,0.9888477,127.0,,1.19
MARK.JK,0.98823595,745.0,,13.95
CTTH.JK,0.9882173,96.0,,1.16
SSIA.JK,0.9880218,1490.0,,35.44
ULTJ.JK,0.9879775,1245.0,,7.11
MYOR.JK,0.9879157,1630.0,,13.95
SGER.JK,0.98775256,240.0,,1.24
MTEL.JK,0.9874992,498.0,,10.08
BGTG.JK,0.9874925,91.0,,1.1
RMKE.JK,0.98733926,1860.0,,75.34
PKPK.JK,0.98707527,2400.0,,3.47
HMSP.JK,0.98693,600.0,,12.68
APLI.JK,0.9869145,288.0,,1.01
ITMG.JK,0.98685443,21875.0,,86.59
KJEN.JK,0.98676944,97.0,,9.4
APIC.JK,0.98661816,525.0,,10.71
BBTN.JK,0.98607785,1050.0,,17.22
FIRE.JK,0.9858812,86.0,,1.05
ADRO.JK,0.98575044,2170.0,,150.67
MLPL.JK,0.98420584,70.0,,2.27
AADI.JK,0.98317075,7450.0,,149.64
KETR.JK,0.9831307,525.0,,38.14
BSSR.JK,0.98310965,3880.0,,2.12
PANI.JK,0.98253673,5750.0,,43.85
BSML.JK,0.98239815,370.0,,6.13
HBAT.JK,0.982264,366.0,,1.11
ISAT.JK,0.9820241,1715.0,,36.0
JMAS.JK,0.98131025,250.0,,1.78
TBLA.JK,0.9807103,550.0,,2.02
RISE.JK,0.9802558,790.0,,1.03
CMRY.JK,0.97999614,4120.0,,18.99
APLN.JK,0.97977257,119.0,,2.77
BRIS.JK,0.97976214,1615.0,,30.15
MBSS.JK,0.97954524,2290.0,,7.53
PIPA.JK,0.97948813,97.0,,2.24
JPFA.JK,0.97905815,1780.0,,68.21
CLEO.JK,0.97902656,322.0,,2.91
DATA.JK,0.97808135,1250.0,,2.73
OASA.JK,0.97804356,220.0,,15.37
VICI.JK,0.97792745,492.0,,1.08
BJTM.JK,0.97789294,492.0,,9.75
DRMA.JK,0.97697526,895.0,,1.86
SCMA.JK,0.9767194,179.0,,9.27
WIIM.JK,0.976542,1325.0,,4.45
FILM.JK,0.97617054,1515.0,,8.92
WIFI.JK,0.975803,1365.0,,99.08
VKTR.JK,0.97568977,535.0,,41.04
MAPA.JK,0.97521734,530.0,,13.2
SRTG.JK,0.97510946,1250.0,,7.57
ADES.JK,0.9739669,20950.0,,1.89
AMMN.JK,0.97372264,3150.0,,979.56
EXCL.JK,0.97300416,2440.0,,30.04
TUGU.JK,0.9729094,1020.0,,3.43
GJTL.JK,0.972453,1010.0,,9.07
NINE.JK,0.9723705,60.0,,1.74
HEXA.JK,0.97231364,4020.0,,1.09
SMLE.JK,0.97221583,69.0,,1.71
BDMN.JK,0.9718707,3760.0,,31.85
MUTU.JK,0.9713875,107.0,,4.62
INDF.JK,0.97061986,5925.0,,77.52
JTPE.JK,0.969867,595.0,,1.85
PGAS.JK,0.9669354,1390.0,,90.45
SMDR.JK,0.96685517,260.0,,3.34
BBNI.JK,0.9663896,3010.0,,299.67
DEWI.JK,0.9663438,108.0,,8.25
ERAA.JK,0.9659793,322.0,,14.36
RATU.JK,0.9636468,3730.0,,38.27
DPUM.JK,0.96342444,150.0,,1.74
IATA.JK,0.96108377,54.0,,4.23
MAHA.JK,0.960415,125.0,,1.29
UDNG.JK,0.95779294,1055.0,,2.55
KOCI.JK,0.9555984,76.0,,1.78
NAYZ.JK,0.9555624,60.0,,1.2
CMNT.JK,0.95354587,775.0,,14.24
SMIL.JK,0.942121,246.0,,3.65
DSSA.JK,0.93705285,595.0,,647.1
NEST.JK,0.93672216,488.0,,1.53
GRIA.JK,0.9281999,168.0,,5.41
MAPI.JK,0.9193643,1485.0,,102.11
