Ticker,AI_Score,Harga,MA50,Trx_Miliar
MEDS.JK,1.0686065,67.0,,8.8
ROTI.JK,1.0555371,545.0,,1.86
AVIA.JK,1.0548699,288.0,,4.48
GOLF.JK,1.0520104,138.0,,1.26
KRYA.JK,1.0477853,51.0,,2.07
RCCC.JK,1.0441968,81.0,,1.0
BDKR.JK,1.0423498,126.0,,1.61
ASPR.JK,1.0405899,167.0,,102.25
SUPA.JK,1.0404811,600.0,,25.49
ASHA.JK,1.0400608,51.0,,2.37
CSMI.JK,1.0384434,68.0,,1.1
ALII.JK,1.0383526,720.0,,5.38
AYAM.JK,1.0375075,300.0,,10.89
ARTO.JK,1.0373911,805.0,,4.78
KAEF.JK,1.037263,390.0,,1.09
DEFI.JK,1.0359199,92.0,,6.28
ICBP.JK,1.0329489,6000.0,6992.5,50.64
NOBU.JK,1.032848,418.0,520.5,1.36
BBKP.JK,1.032128,51.0,60.2,7.96
COIN.JK,1.0296538,590.0,1081.3,3.81
MARK.JK,1.0277287,745.0,774.4,13.95
MIKA.JK,1.0272666,1435.0,1915.3,16.8
SNLK.JK,1.0271683,222.0,241.2,2.8
DOOH.JK,1.0264937,98.0,,4.06
HATM.JK,1.0261761,294.0,,10.53
CNMA.JK,1.0258595,82.0,,1.5
LPKR.JK,1.0243666,59.0,,4.24
MNCN.JK,1.0238087,200.0,,6.45
UNVR.JK,1.0236338,1575.0,,37.91
KLBF.JK,1.023414,665.0,,49.41
PYFA.JK,1.0227654,171.0,,4.79
RLCO.JK,1.0226047,2430.0,,2.03
LPPF.JK,1.0221277,1460.0,,3.97
CYBR.JK,1.0209475,535.0,,12.45
DFAM.JK,1.020715,95.0,,3.0
BJBR.JK,1.0203353,705.0,,4.93
MDIY.JK,1.0201553,825.0,,1.07
ASRI.JK,1.019836,97.0,,1.68
CDIA.JK,1.0198147,590.0,,85.99
DILD.JK,1.0197016,108.0,,2.45
INTP.JK,1.018139,4000.0,,22.08
RMKO.JK,1.0178727,240.0,,1.69
IRSX.JK,1.0177808,242.0,,24.87
JATI.JK,1.0174915,87.0,,1.22
MOLI.JK,1.0163053,208.0,251.3,1.34
CPIN.JK,1.0160527,3150.0,3996.2,61.97
MAIN.JK,1.0159819,620.0,841.7,2.06
BSML.JK,1.015516,370.0,393.0,6.13
NCKL.JK,1.0151393,780.0,1030.1,48.68
MTEL.JK,1.0146974,498.0,,10.08
LCKM.JK,1.013776,91.0,,4.74
MAHA.JK,1.0130998,125.0,,1.29
NINE.JK,1.0121982,60.0,,1.74
MORA.JK,1.0116447,5300.0,,2.79
PNLF.JK,1.0116379,195.0,,15.79
VISI.JK,1.0115736,1000.0,,8.04
GPRA.JK,1.0104387,100.0,,3.22
EPAC.JK,1.0103532,51.0,,2.18
BEER.JK,1.0101048,83.0,,5.86
KAQI.JK,1.0097563,79.0,,2.66
AALI.JK,1.0092919,5900.0,,23.96
JSMR.JK,1.0084217,2700.0,,12.2
COCO.JK,1.0082349,158.0,,5.15
PNIN.JK,1.0076245,650.0,,1.8
MSKY.JK,1.0073038,57.0,,4.44
MYOR.JK,1.0068299,1630.0,,13.95
SRTG.JK,1.0065916,1250.0,,7.57
PNBN.JK,1.0058092,830.0,,8.1
HUMI.JK,1.0055168,94.0,,7.64
KETR.JK,1.0053529,525.0,,38.14
MDKA.JK,1.005114,2420.0,,374.31
ARNA.JK,1.0051128,408.0,,2.82
APLN.JK,1.004591,119.0,,2.77
HEAL.JK,1.0045415,770.0,,11.5
CBDK.JK,1.0039983,3140.0,,13.9
BRIS.JK,1.0039675,1615.0,,30.15
SMLE.JK,1.0038686,69.0,,1.71
CTRA.JK,1.0037019,530.0,,10.95
BEEF.JK,1.0034003,132.0,,1.82
NIKL.JK,1.0030756,180.0,,1.24
PRDA.JK,1.002748,2320.0,,4.77
MLPL.JK,1.0026959,70.0,,2.27
UNTR.JK,0.9800918,20875.0,,140.37
CHEM.JK,0.9800672,53.0,,1.38
SMSM.JK,0.9799712,1580.0,,3.92
PTBA.JK,0.9796611,2500.0,,59.48
RMKE.JK,0.9790425,1860.0,,75.34
GJTL.JK,0.9789128,1010.0,,9.07
CLEO.JK,0.9780009,322.0,,2.91
MEDC.JK,0.9779628,1170.0,,93.3
CMNT.JK,0.97773194,775.0,,14.24
DEWI.JK,0.9776146,108.0,,8.25
HBAT.JK,0.9775368,366.0,,1.11
KRAS.JK,0.9772955,166.0,,1.47
NETV.JK,0.97710276,51.0,,1.96
APLI.JK,0.97675043,288.0,,1.01
FUJI.JK,0.9763839,254.0,,4.9
INDF.JK,0.97598535,5925.0,,77.52
FILM.JK,0.9752766,1515.0,,8.92
MINA.JK,0.9749724,238.0,,56.36
ERAA.JK,0.97483104,322.0,,14.36
NTBK.JK,0.9746325,51.0,,2.36
BGTG.JK,0.9746138,91.0,,1.1
ESTI.JK,0.9742805,105.0,,2.25
SSMS.JK,0.9735009,670.0,,11.54
LEAD.JK,0.9734172,76.0,,1.38
GGRM.JK,0.97330123,14400.0,,21.76
HRUM.JK,0.9728173,640.0,,7.96
RATU.JK,0.9726177,3730.0,,38.27
BANK.JK,0.9723846,240.0,,2.33
CMRY.JK,0.9723713,4120.0,,18.99
MLBI.JK,0.9719698,5925.0,,4.78
GZCO.JK,0.971394,115.0,,1.95
RAJA.JK,0.97137266,2640.0,,99.87
RGAS.JK,0.97110796,101.0,,2.5
APIC.JK,0.9710421,525.0,,10.71
SCMA.JK,0.97087574,179.0,,9.27
ASGR.JK,0.9708372,1330.0,,1.49
POWR.JK,0.9706327,675.0,,7.21
BJTM.JK,0.97054917,492.0,,9.75
EXCL.JK,0.9702735,2440.0,,30.04
TPMA.JK,0.9696381,330.0,,4.66
TOTL.JK,0.96942425,985.0,,5.38
MUTU.JK,0.9687638,107.0,,4.62
IMPC.JK,0.9686024,1305.0,,70.23
RISE.JK,0.96835995,790.0,,1.03
IATA.JK,0.96806103,54.0,,4.23
BBNI.JK,0.96801287,3010.0,,299.67
KIJA.JK,0.96769,111.0,,8.17
NPGF.JK,0.966974,57.0,,3.1
BRMS.JK,0.9666712,482.0,,196.55
MBMA.JK,0.9665762,440.0,,77.33
NRCA.JK,0.96656144,354.0,,3.44
ARKO.JK,0.966512,3710.0,,22.43
BBCA.JK,0.9659461,4850.0,6150.6,2655.83
PGAS.JK,0.96580076,1390.0,1713.7,90.45
CUAN.JK,0.9657834,640.0,1049.7,579.64
NICL.JK,0.96542084,480.0,774.5,2.23
IPCC.JK,0.9653619,1040.0,1264.2,1.67
